,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
48,,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
50,,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
51,,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.9, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
57,,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
60,,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
61,,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
62,,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 207 , 28 , 13 , 16 , 34 , 58.82 ,4.8, 58.82 , -   , -   ,,, 28 , 6 ,"1,641 ","1,619 ",,
63,,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
64,,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,720 ", 415 , 627 , 291 , 250 , 598 , 6.59 ,4.8, 6.59 , -   , -   ,,, 627 , 271 ,"3,864 ","3,508 ",,
65,,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
66,,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 110 , 99 , 58 , 79 , 103 , 8.38 ,4.8, 8.38 , -   , -   ,,, 99 , 137 ,693 ,731 ,,
67,,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 97 , 41 , 32 , 34 , 60 , 12.61 ,4.8, 12.61 , -   , -   ,,, 41 , 26 ,491 ,476 ,,
68,,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
69,,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
70,,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
72,,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   , -   ,2.7, -   , -   , -   ,,, -   , -   ,100 ,100 ,,
73,,100029,HM-183,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,15 ,15 ,,
74,,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
75,Will purchase on the next chimical metting,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, 100 ,2023-03-26::100.0, 25 , 50 , 71 , 46 , 43 , 30 , 1.06 ,2.8, 2.46 , 21 , 0.9 ,,, 71 , 28 ,47 ,4 ,,
76,Will purchase on the next chimical metting,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 2,420 ", 195 ," 1,102 ", 834 , 912 , 814 , 2.37 ,4.8, 3.87 , 992 , 9.0 ,,," 1,102 ", 943 ,"1,672 ","1,513 ",,
78,,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
80,,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
82,,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , 3 ," 10,855 "," 3,969 "," 4,174 ", 49 , 0.00 ,4.7, 0.00 ," 51,019 ", 51.0 ,,," 10,855 "," 5,026 ","(5,023)","(10,852)",,
85,,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 91 , -   ,, -   , -   ,2.5, -   , 228 , 1.1 ,,, 91 , 49 ,(49),(91),,
86,,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 471 , 1 , 93 , 78 , 128 , 11.17 ,2.5, 11.17 , -   , -   ,,, 1 , -   ,871 ,870 ,,
87,,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
88,,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
89,,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 83 , 7 , 12 , 5 , 2 , 292.60 ,4.8, 292.60 , -   , -   ,,, 7 , -   ,"1,463 ","1,456 ",,
90,,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
91,,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
92,,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
94,,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 13 , 10 , 9 , 5 , 1 , 2.60 ,4.8, 2.60 , 35 , 3.5 ,,, 10 , 2 ,11 ,3 ,,
95,,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 6 , -   , -   ,, 6 , -   ,4.3, -   , -   , -   ,,, -   , -   ,36 ,36 ,,
96,,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
97,,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
98,,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,100 ,100 ,,
100,,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 3,240 ", -   ,, -   , -   ,4.8, -   ," 15,552 ", 141.4 ,,," 3,240 "," 2,594 ","(2,594)","(3,240)",,
102,,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 52 , 17 , 36 , 27 , 42 , 58.65 ,4.5, 58.65 , -   , -   ,,, 17 , 35 ,962 ,980 ,,
103,,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,5.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
105,,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,5 ,5 ,,
106,,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 165 , 357 , 144 , 240 , 199 , 347 , 3.63 ,2.5, 3.63 , -   , -   ,,, 144 , 104 ,418 ,378 ,,
108,,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 4,000 ", 711 , -   , -   ,," 1,289 ", -   ,4.8, -   , -   , -   ,,, -   , -   ,"4,711 ","4,711 ",,
111,,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
112,,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
113,,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 3,080 ",2023-04-22::1430.0|||2023-05-08::1650.0, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
114,,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , -   , 1 , 2 , -   , 78.00 ,4.7, 78.00 , -   , -   ,,, -   , -   ,156 ,156 ,,
115,,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
116,,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 57 , 96 , 57 , 73 , 15 , 11.84 ,4.7, 11.84 , -   , -   ,,, 96 , 50 ,"1,087 ","1,041 ",,
117,,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-10::960.0|||2023-05-08::1080.0, 480 , 47 , 147 , 61 , 44 , 110 , 3.59 ,4.7, 17.46 , -   , -   ,,, 147 , 88 ,439 ,380 ,,
118,,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.8, -   , 10 , 0.1 ,,, 2 , -   ,0 ,(2),,
119,,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 2,280 ", 253 ," 1,905 ", 838 ," 1,021 "," 1,223 ", 1.33 ,4.8, 8.01 ," 6,668 ", 55.6 ,,," 1,905 "," 1,171 ","1,362 ",628 ,,
120,,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-10::3000.0|||2023-04-22::1800.0|||2023-04-24::720.0|||2023-04-24::1200.0|||2023-05-08::1440.0|||NaT::4560.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
121,,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,170 ", 57 , 147 , 118 , 121 , 176 , 8.35 ,4.8, 8.35 , -   , -   ,,, 147 , 83 ,"1,144 ","1,080 ",,
122,,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,29 ,29 ,,
123,Waiting for shipment,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 539 , -   ,, -   , -   ,4.3, -   ," 2,318 ", 46.4 ,,, 539 , 199 ,(199),(539),,
124,,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-15::2000.0, 850 , 240 , -   , 437 , 435 , 325 , 2.02 ,4.3, 5.73 , -   , -   ,,, -   , -   ,"1,090 ","1,090 ",,
125,,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.3, -   , 9 , 0.2 ,,, 2 , -   ,0 ,(2),,
126,,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 8,250 ", 51 ," 1,112 ", 703 , 607 ," 1,121 ", 7.46 ,4.3, 7.46 , -   , -   ,,," 1,112 ", 430 ,"7,871 ","7,189 ",,
127,,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 63 , -   ,, -   , -   ,4.8, -   , 302 , 2.7 ,,, 63 , -   ,0 ,(63),,
128,,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000, -   ,-," 3,000 ", 923 , -   ," 1,004 ", 219 ," 1,137 ", 17.91 ,4.8, 17.91 , -   , -   ,,, -   , -   ,"3,923 ","3,923 ",,
130,,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
131,,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 8,400 ", 372 , 150 , 231 , 173 , 238 , 58.48 ,4.3, 58.48 , -   , -   ,,, 150 , -   ,"8,772 ","8,622 ",,
132,,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
137,,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
138,,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 9 , -   ,, -   , -   ,4.8, -   , 43 , 0.3 ,,, 9 , -   ,0 ,(9),,
140,,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-15::120.0, 50 , 66 , 18 , 17 , 20 , 32 , 6.44 ,4.8, 13.11 , -   , -   ,,, 18 , 9 ,107 ,98 ,,
141,,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,5 ,5 ,,
143,Waiting for shipment,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115," 3,795 ",2023-03-20::805.0|||2023-03-28::2990.0," 3,450 ", 589 ," 1,362 "," 1,105 "," 1,004 "," 2,030 ", 2.97 ,4.8, 5.75 , -   , -   ,,," 1,362 ", 812 ,"3,227 ","2,677 ",,
144,,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
145,,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
146,,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-, 960 , 119 , 114 , 100 , 78 , 149 , 9.46 ,4.8, 9.46 , -   , -   ,,, 114 , 3 ,"1,076 ",965 ,,
147,,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 75 , 122 , 75 , 66 , 81 , 5.84 ,4.8, 5.84 , -   , -   ,,, 122 , 31 ,682 ,591 ,,
148,,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
149,,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 139 , 146 , 45 , 35 , 108 , 9.99 ,4.8, 9.99 , -   , -   ,,, 146 , 23 ,"1,436 ","1,313 ",,
150,,105042,SAMIANIL CB ROSSO RP,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 5 , 1 , 1 , -   , 2 , -   ,4.8, -   , -   , -   ,,, 1 , -   ,45 ,44 ,,
151,,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 37 , 5 , 5 , 5 , 14 , 49.40 ,4.8, 49.40 , -   , -   ,,, 5 , 3 ,244 ,242 ,,
152,,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,4 ,4 ,,
153,,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
154,,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 41 , 29 , 10 ,, -   , 49.69 ,4.1, 49.69 , -   , -   ,,, 29 , -   ,"1,441 ","1,412 ",,
155,,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, 120 , 50 , 7 , 12 , 16 , -   , 10.63 ,4.3, 10.63 , -   , -   ,,, 7 , 6 ,164 ,163 ,,
157,,105161,PM1-CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
158,,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
159,,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, -   , -   , -   , 117 , 133 , 125 , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
160,,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 108 , 4 , 10 , 8 , 19 , 35.88 ,2.5, 35.88 , -   , -   ,,, 4 , 9 ,278 ,283 ,,
161,,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 94 , 193 , 113 , 141 , 31 , 6.70 ,4.7, 6.70 , -   , -   ,,, 193 , 101 ,"1,193 ","1,101 ",,
162,,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
163,,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 600 , 80 , 120 , 74 , 67 , 145 , 5.67 ,4.8, 5.67 , -   , -   ,,, 120 , 91 ,589 ,560 ,,
164,,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-10::240.0|||2023-04-17::240.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
165,,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 89 , 18 , 16 , 17 , 35 , 14.94 ,4.8, 14.94 , -   , -   ,,, 18 , 10 ,259 ,251 ,,
166,,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,6 ,6 ,,
167,,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
168,,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
169,,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
170,,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
172,,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
173,,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 205 , 93 , 43 , 38 , 66 , 12.53 ,4.8, 12.53 , -   , -   ,,, 93 , 20 ,"1,145 ","1,072 ",,
174,,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
175,,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
176,,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 193 , 96 , 36 , 29 , 25 , 23.26 ,4.8, 23.26 , -   , -   ,,, 96 , 10 ,"2,223 ","2,137 ",,
177,,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 123 , 67 , 39 , 45 , 46 , 51.99 ,4.8, 51.99 , -   , -   ,,, 67 , 63 ,"3,420 ","3,416 ",,
178,,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 119 , 41 , 24 , 14 , 20 , 38.02 ,4.8, 38.02 , -   , -   ,,, 41 , 1 ,"1,558 ","1,518 ",,
179,,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 530 , 49 , 60 , 50 , 52 , 67 , 9.65 ,4.8, 9.65 , -   , -   ,,, 60 , 39 ,540 ,519 ,,
180,,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,9 ,9 ,,
181,,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
182,,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 330 , 63 , 24 , 66 , 72 , 47 , 16.38 ,2.8, 16.38 , -   , -   ,,, 24 , 22 ,371 ,369 ,,
183,,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, -   ,-, -   , 99 , 74 , 53 , 50 , 121 , 1.34 ,4.3, 7.55 , 222 , 22.2 ,,, 74 , 20 ,79 ,25 ,,
184,,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 460 ,2023-04-15::180.0|||2023-04-22::110.0|||NaT::170.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
185,,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
186,,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
187,,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 192 , 97 , 41 , 38 , 70 , 14.35 ,4.8, 14.35 , -   , -   ,,, 97 , 46 ,"1,346 ","1,295 ",,
188,,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , 3 , -   ,, -   , -   ,2.5, -   , 8 , 0.8 ,,, 3 , -   ,0 ,(3),,
189,,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,, -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
190,,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 55 , 2 , 14 , 8 , 19 , 81.88 ,4.8, 81.88 , -   , -   ,,, 2 , -   ,655 ,653 ,,
191,,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
