,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
109,"Use the Pur 65 in Stock first, then come back with TF.
Waiting for the shipping schedule",104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 3,000 ", 344 , -   , 320 , 640 , 756 , 5.23 ,4.8, 5.23 , -   , -   ,,, -   , -   ,"3,344 ","3,344 ",
110,,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 4,200 ",NaT::4200.0," 5,640 ", 560 ," 5,517 "," 2,174 "," 2,139 ", 17 , 1.12 ,2.9, 1.89 ," 5,517 ", 46.0 ,,," 5,517 "," 2,655 ","3,545 ",683 ,
157,Waiting for shipment,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-, -   , 697 ," 2,673 "," 3,670 "," 4,498 "," 1,268 ", 0.26 ,2.5, 0.26 ," 5,881 ", 31.0 ,,," 2,673 ", 629 ,68 ,"(1,976)",
0,,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-17::840.0, 240 , 304 , -   , 242 , 245 , 73 , 2.22 ,4.7, 5.65 , -   , -   ,,, -   , -   ,544 ,544 ,
1,,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,200 ", 606 , 3 , 355 , 370 , 172 , 12.99 ,4.7, 12.99 , -   , -   ,,, 3 , -   ,"4,806 ","4,803 ",
2,,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 393 , -   , 59 , 51 , 61 , 7.71 ,2.8, 7.71 , -   , -   ,,, -   , -   ,393 ,393 ,
3,,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 30 , 30 , -   , 15.13 ,4.8, 15.13 , -   , -   ,,, -   , -   ,454 ,454 ,
4,,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 177 , 78 , 37 , 41 , 4 , 13.04 ,4.8, 13.04 , -   , -   ,,, 78 , 36 ,981 ,939 ,
5,,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 21 , 11 , -   , 10.91 ,4.8, 10.91 , -   , -   ,,, -   , -   ,120 ,120 ,
6,,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 128 , 48 , 25 , 27 , 17 , 27.67 ,4.8, 27.67 , -   , -   ,,, 48 , 2 ,"1,326 ","1,280 ",
7,,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
8,,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   , 1 , -   , 95.00 ,2, 95.00 , -   , -   ,,, -   , -   ,95 ,95 ,
9,,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 17 , 1 , 1 , 1 , 0 , 187.00 ,4.8, 187.00 , -   , -   ,,, 1 , 1 ,186 ,186 ,
10,,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
11,,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, -   ,-, 25 , 5 , 8 , 27 , 33 , -   , 0.91 ,2.8, 0.91 , -   , -   ,,, 8 , 8 ,22 ,22 ,
12,,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 15 , -   ,, -   , -   ,4.8, -   , 72 , 0.4 ,,, 15 , -   ,0 ,(15),
14,,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
15,,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 38 , 25 , 14 , 11 , 0 , 10.32 ,4.8, 10.32 , -   , -   ,,, 25 , 2 ,256 ,233 ,
16,,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,7 ,7 ,
17,,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
18,,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
19,,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 65 , 6 , 7 , 6 , 0 , 120.83 ,4.3, 120.83 , -   , -   ,,, 6 , 6 ,719 ,719 ,
20,,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
21,Replacement,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 720 , 66 , 282 , 140 , 135 , 22 , 2.79 ,4.8, 5.34 , 564 , 4.7 ,,, 282 , 54 ,732 ,504 ,
22,,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-17::720.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
23,,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , 1 , -   , 1 , -   , 240.00 ,2, 240.00 , -   , -   ,,, 1 , -   ,240 ,239 ,
24,,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,19 ,19 ,
25,,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 17 , 1 , 12 , 5 , -   , 75.40 ,4.8, 75.40 , -   , -   ,,, 1 , -   ,377 ,376 ,
26,,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 87 , 22 , 26 , 26 , 41 , 58.50 ,4.8, 58.50 , -   , -   ,,, 22 , 6 ,"1,281 ","1,265 ",
27,,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
28,,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 105 , -   , 1 , -   , -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,"1,785 ","1,785 ",
29,,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.8, -   , 10 , 0.1 ,,, 2 , -   ,0 ,(2),
30,,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 2,850 ", 649 , 566 , 230 , 250 , 116 , 6.18 ,4.8, 6.18 , -   , -   ,,, 566 , 238 ,"3,261 ","2,933 ",
31,,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   , -   ,4.8, -   , 5 , 0.1 ,,, 1 , -   ,0 ,(1),
32,,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,520 ", 169 , 101 , 59 , 54 , 13 , 26.62 ,4.8, 26.62 , -   , -   ,,, 101 , 35 ,"2,654 ","2,588 ",
33,,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
34,Waiting for shipment,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-17::480.0, 800 , 707 , 637 , 310 , 298 , 63 , 2.37 ,4.8, 3.12 ," 1,083 ", 6.8 ,,, 637 , 236 ,"1,271 ",870 ,
35,,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 2 , 8 , 3 , 5 , 3 , 0.40 ,4.8, 0.40 , 37 , 1.5 ,,, 8 , 1 ,1 ,(6),
36,,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 50 , 30 , -   , 3 , 2 , 6 , 40.00 ,4.8, 40.00 , -   , -   ,,, -   , 1 ,79 ,80 ,
37,,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80.0, 70 , 38 , 10 , 9 , 10 , 2 , 10.80 ,4.8, 18.80 , -   , -   ,,, 10 , 6 ,102 ,98 ,
38,,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,6 ,6 ,
39,,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 79 , 34 , 23 , 25 , 17 , 12.03 ,4.8, 12.03 , -   , -   ,,, 34 , 8 ,401 ,375 ,
40,,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,9 ,9 ,
41,,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
42,,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , -   , -   , 63 , 63 , 188 , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
