,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
84,,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,80,1000," 42,000 ",2023-04-17::3000.0|||2023-04-22::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-05-14::12000.0|||2023-05-14::6000.0," 2,000 "," 1,506 ", -   ," 1,415 "," 2,830 "," 1,735 ", 0.29 ,4.7, 3.82 , -   , -   ,,, -   , -   ,"3,506 ","3,506 ",
86,,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 110 , -   ,, -   , -   ,2.5, -   , 275 , 1.4 ,,, 110 , 140 ,(140),(110),
87,,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 358 , -   , 100 , 111 , 36 , 6.83 ,2.5, 6.83 , -   , -   ,,, -   , -   ,758 ,758 ,
88,,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
89,,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
90,,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 50 , 3 , 9 , 4 , 14 , 357.50 ,4.8, 357.50 , -   , -   ,,, 3 , 1 ,"1,429 ","1,427 ",
91,,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
92,,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
93,,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
95,,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 10 , 21 , 7 , 3 , -   , 0.48 ,4.8, 0.48 , 90 , 9.0 ,,, 21 , 3 ,7 ,(11),
96,,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 2 , -   , 1 , 2 , 2 , 16.00 ,4.3, 31.00 , -   , -   ,,, -   , -   ,32 ,32 ,
97,,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
98,,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
99,,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,100 ,100 ,
100,,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100, -   ,-," 1,500 ", 138 ," 1,432 ", 683 , 912 , 290 , 1.14 ,2.8, 1.14 ," 2,434 ", 24.3 ,,," 1,432 ", 245 ,"1,393 ",206 ,
103,,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 56 , 17 , 41 , 41 , -   , 58.88 ,4.5, 58.88 , -   , -   ,,, 17 , 32 ,969 ,984 ,
104,,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,5.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
106,,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,
107,,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, -   , 395 , 133 , 273 , 251 , 40 , 2.97 ,2.5, 2.97 , -   , -   ,,, 133 , 76 ,319 ,262 ,
108,,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120, -   ,-," 3,600 ", 810 ," 2,804 "," 1,321 "," 1,324 ", 398 , 1.57 ,2.8, 1.57 ," 3,365 ", 28.0 ,,," 2,804 ", 992 ,"3,418 ","1,606 ",
111,,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10, 700 ,2023-05-16::700.0," 2,390 ", 644 ," 1,472 ", 675 , 701 , 287 , 2.06 ,4.8, 2.54 ," 3,386 ", 338.6 ,,," 1,472 ", 576 ,"2,458 ","1,562 ",
112,,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
113,,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
114,,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
115,,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , -   , 1 ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,156 ,156 ,
116,,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
117,,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 18 , 96 , 57 , 48 , 35 , 11.44 ,4.7, 11.44 , -   , -   ,,, 96 , 9 ,"1,089 ","1,002 ",
118,Waiting for shipment,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-17::960.0|||2023-05-14::1080.0, 360 , 22 , 240 , 79 , 86 , 90 , 1.59 ,4.7, 10.09 , -   , -   ,,, 240 , 376 ,6 ,142 ,
119,,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),
120,,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 1,200 ", 425 ," 1,998 ", 969 ," 1,071 ", 361 , 0.81 ,4.8, 7.18 ," 7,992 ", 66.6 ,,," 1,998 ", 632 ,993 ,(373),
121,,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-17::3000.0|||2023-04-22::1800.0|||2023-04-24::720.0|||2023-04-24::1200.0|||2023-05-14::1440.0|||NaT::4560.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
122,,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,060 ", 67 , 167 , 134 , 142 , 59 , 6.75 ,4.8, 6.75 , -   , -   ,,, 167 , 71 ,"1,056 ",960 ,
123,,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,29 ,29 ,
124,Replacement,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 527 , -   ,, -   , -   ,4.3, -   ," 2,266 ", 45.3 ,,, 527 , 106 ,(106),(527),
125,,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-15::2000.0, 750 , 60 , -   , 439 , 327 , 176 , 1.54 ,4.3, 5.33 , -   , -   ,,, -   , -   ,810 ,810 ,
126,Replacement,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.3, -   , 9 , 0.2 ,,, 2 , -   ,0 ,(2),
127,,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 7,850 ", 58 ," 1,069 ", 814 , 842 , 238 , 7.40 ,4.3, 7.40 , -   , -   ,,," 1,069 ", 310 ,"7,598 ","6,839 ",
128,,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 79 , -   ,, -   , -   ,4.8, -   , 379 , 3.4 ,,, 79 , 112 ,(112),(79),
129,,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000," 2,000 ",2023-04-04::2000.0," 3,000 ", 579 , -   , 657 , 531 , 117 , 6.74 ,4.8, 10.51 , -   , -   ,,, -   , -   ,"3,579 ","3,579 ",
131,,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,3.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
132,,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 7,200 ", 846 , 140 , 207 , 225 , 449 , 57.47 ,4.3, 57.47 , -   , -   ,,, 140 , 14 ,"8,032 ","7,906 ",
133,,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
134,,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 20,000 ",2023-04-27::10000.0|||2022-05-10::10000.0," 2,000 ", 753 ," 3,349 "," 5,553 "," 6,408 ", 967 , 0.82 ,4.3, 6.79 , -   , -   ,,," 3,349 "," 1,073 ","1,680 ",(596),
135,,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000, -   ,-," 6,000 ", 555 ," 3,344 ", 621 , 119 , 798 , 1.96 ,4.5, 1.96 ," 8,360 ", 8.4 ,,," 3,344 "," 2,247 ","4,308 ","3,211 ",
136,Replacement,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-17::4560.0, 720 , 614 ," 2,421 "," 2,033 "," 2,032 ", 519 , 0.55 ,4.3, 2.43 ," 4,600 ", 38.3 ,,," 2,421 "," 1,292 ",42 ,"(1,087)",
137,,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   ,,,, -   , -   ,0 ,0 ,
138,,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
139,,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 10 , -   ,, -   , -   ,4.8, -   , 48 , 0.3 ,,, 10 , -   ,0 ,(10),
141,,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-15::120.0, 50 , 54 , 17 , 21 , 23 , 7 , 6.12 ,4.8, 13.18 , -   , -   ,,, 17 , 5 ,99 ,87 ,
142,,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,5 ,5 ,
143,,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 4,830 ",2023-05-12::575.0|||2023-05-16::4255.0," 9,660 ", 674 ," 5,301 "," 4,107 "," 4,345 ", 881 , 1.95 ,4.8, 2.86 ," 10,072 ", 87.6 ,,," 5,301 "," 2,055 ","8,279 ","5,033 ",
144,,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115, -   ,-," 6,670 ", 441 ," 1,404 "," 1,232 "," 1,187 ", 204 , 5.06 ,4.8, 5.06 , -   , -   ,,," 1,404 ", 188 ,"6,923 ","5,707 ",
145,,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
146,,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
147,,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-, 960 , 99 , 119 , 100 , 87 , 3 , 8.90 ,4.8, 8.90 , -   , -   ,,, 119 , 15 ,"1,044 ",940 ,
148,,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 37 , 111 , 78 , 71 , 27 , 6.08 ,4.8, 6.08 , -   , -   ,,, 111 , 14 ,661 ,564 ,
149,,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
150,,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 99 , 152 , 60 , 68 , 12 , 9.34 ,4.8, 9.34 , -   , -   ,,, 152 , 12 ,"1,407 ","1,267 ",
151,,105042,SAMIANIL CB ROSSO RP,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 1 , 2 , 1 , 1 , 0 , 41.00 ,4.8, 41.00 , -   , -   ,,, 2 , 1 ,40 ,39 ,
152,,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 31 , 17 , 6 , 8 , 7 , 14.18 ,4.8, 14.18 , -   , -   ,,, 17 , 36 ,205 ,224 ,
153,,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,4 ,4 ,
154,,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
155,,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 40 , 30 , 4 ,, -   , 48.00 ,4.1, 48.00 , -   , -   ,,, 30 , -   ,"1,440 ","1,410 ",
156,,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, -   , 120 , 10 , 11 , 2 , -   , 60.00 ,4.3, 60.00 , -   , -   ,,, 10 , -   ,120 ,110 ,
158,,105161,PM1 CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
159,,105094,ACETONE *,AN V?NH PH��T,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
160,,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, 250 , -   , -   , 142 , 50 , -   , 5.00 ,2.5, 5.00 , -   , -   ,,, -   , -   ,250 ,250 ,
161,,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 120 , 4 , 13 , 14 , 0 , 21.36 ,2.5, 21.36 , -   , -   ,,, 4 , 8 ,291 ,295 ,
162,,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 20 , 192 , 111 , 92 , 70 , 6.35 ,4.7, 6.35 , -   , -   ,,, 192 , 18 ,"1,202 ","1,028 ",
163,,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
164,,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 480 , 132 , 129 , 88 , 89 , 15 , 4.74 ,4.8, 4.74 , 13 , 0.1 ,,, 129 , 52 ,560 ,483 ,
165,,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-17::240.0|||2023-04-17::240.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
166,,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 76 , 21 , 21 , 26 , 5 , 12.19 ,4.8, 12.19 , -   , -   ,,, 21 , 6 ,250 ,235 ,
167,,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,6 ,6 ,
168,,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
169,,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
170,,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
171,Replacement,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
172,,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180, -   ,-," 1,260 ", 307 ," 1,382 "," 1,132 "," 1,239 ", 547 , 1.13 ,2.8, 1.13 ," 2,349 ", 13.1 ,,," 1,382 ", 692 ,875 ,185 ,
173,,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
174,,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 139 , 107 , 40 , 50 , 23 , 10.27 ,4.8, 10.27 , -   , -   ,,, 107 , 6 ,"1,093 ",992 ,
175,,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
176,,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
177,,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 157 , 53 , 37 , 32 , 12 , 41.45 ,4.8, 41.45 , -   , -   ,,, 53 , 9 ,"2,188 ","2,144 ",
178,,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 101 , 74 , 37 , 43 , 25 , 46.77 ,4.8, 46.77 , -   , -   ,,, 74 , 54 ,"3,407 ","3,387 ",
179,,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 107 , 46 , 20 , 11 , 1 , 33.63 ,4.8, 33.63 , -   , -   ,,, 46 , 2 ,"1,545 ","1,501 ",
180,,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 500 , 35 , 64 , 55 , 56 , 30 , 8.36 ,4.8, 8.36 , -   , -   ,,, 64 , 36 ,499 ,471 ,
181,,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,9 ,9 ,
182,,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
183,,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 220 , 163 , 27 , 66 , 76 , 2 , 14.19 ,2.8, 14.19 , -   , -   ,,, 27 , 17 ,366 ,356 ,
184,"Replacement.
Waiting for shipment",104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, -   ,-, -   , 70 , 78 , 68 , 84 , 19 , 0.90 ,4.3, 6.79 , 265 , 26.5 ,,, 78 , 34 ,36 ,(8),
185,,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 460 ,2023-04-15::180.0|||2023-04-22::110.0|||NaT::170.0, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
186,,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
187,,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
188,,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 148 , 109 , 48 , 52 , 9 , 12.37 ,4.8, 12.37 , -   , -   ,,, 109 , 32 ,"1,316 ","1,239 ",
189,,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , 8 , -   ,, -   , -   ,2.5, -   , 20 , 2.0 ,,, 8 , -   ,0 ,(8),
190,,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,, -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
191,,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 43 , 2 , 11 , 12 , 5 , 53.58 ,4.8, 53.58 , -   , -   ,,, 2 , -   ,643 ,641 ,
192,,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
193,Replacement,104854,RODA PUR K 312,TFL,O,COMPOUND,-,85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
194,,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",85,120, -   ,-, 720 , 48 , 12 , 183 , 201 , 10 , 64.00 ,4.8, 64.00 , -   , -   ,,, 12 , -   ,768 ,756 ,
195,,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
196,,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 600 , 132 , 179 , 84 , 103 , 42 , 4.09 ,4.8, 4.09 , 125 , 1.0 ,,, 179 , 44 ,688 ,553 ,
197,,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160, -   ,-, 480 , 120 , 75 , 188 , 293 , 44 , 8.00 ,2.5, 8.00 , -   , -   ,,, 75 , 124 ,476 ,525 ,
198,,104983,RECAPUR FIX TVN3,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
199,Waiting for shipment,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 450 ,2023-04-09::150.0, 200 , 86 , 273 , 113 , 129 , 34 , 1.05 ,2.8, 2.70 , 27 , 0.5 ,,, 273 , 124 ,162 ,13 ,
200,,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,80,10, 300 ,2023-04-15::300.0, 680 , 238 , 353 , 332 , 342 , 102 , 2.60 ,4.7, 3.45 , 424 , 42.4 ,,, 353 , 137 ,781 ,565 ,
201,,105256,XR-5525,STAHL Singapore,O,-,-,70,5, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
202,,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5, -   ,-, 40 , 17 , 9 , 5 , 3 , 1 , 19.00 ,4.3, 19.00 , -   , -   ,,, 9 , 2 ,55 ,48 ,
203,,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
204,,104390,SUPRONIL HK BLACK AS,STAHL Germany,O,COMPOUND,(Daniele)we can replace  with the new ones,80,30, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
