,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, -   ,-, 840 , 431 , -   , 242 , 245 , 186 ,1271,4.7,1271, -   , -   ,,, -   , -   ,"1,271 ","1,271 ",
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,200 ", 453 , 3 , 355 , 370 , 335 ,1551,4.7,1551, -   , -   ,,, 3 , -   ,"4,653 ","4,650 ",
2,100094,ACRYSOL RM-825,LANXESS,D,COMPOUND,"keo mau art: Ellington, Benfica, Viseu",23,204, 204 ,NaT::204, 204 , 349 , -   , 59 , 51 , 118 ,553,2.8,757, -   , -   ,,, -   , -   ,553 ,553 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 34 , -   , 30 , 30 , -   ,454,4.8,454, -   , -   ,,, -   , -   ,454 ,454 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 138 , 72 , 37 , 41 , 42 ,13.6,4.8,13.6, -   , -   ,,, 72 , 14 ,964 ,906 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , -   , -   , 21 , 11 , -   ,120,4.8,120, -   , -   ,,, -   , -   ,120 ,120 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 125 , 48 , 25 , 27 , 19 ,27.6,4.8,27.6, -   , -   ,,, 48 , 6 ,"1,319 ","1,277 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,0,4.3,0, -   , -   ,,, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 95 , -   , -   , 1 , -   ,95,2,95, -   , -   ,,, -   , -   ,95 ,95 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 16 , 1 , 1 , 1 , 0 ,186,4.8,186, -   , -   ,,, 1 , 1 ,185 ,185 ,
