,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120,840,2023-04-10::840.0,360,266,0,207,233,297.69,626,4.7,1466,0,0,,,0,0,626,626
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120,0,-,4560,473,3,334,319,450.96,1677.7,4.7,1677.7,0,0,,,3,0,5033,5030
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204,0,-,0,59,0,58,46,87.446,59,2.8,59,0,0,,,0,0,59,59
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,0,-,420,34,0,28,42,21,454,4.8,454,0,0,,,0,0,454,454
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,960,64,75,28,37,47.154,13.7,4.8,13.7,0,0,,,75,22,1002,949
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120,0,-,120,0,0,22,13,24.4,120,4.8,120,0,0,,,0,0,120,120
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120,0,-,1200,152,47,21,18,30.764,28.8,4.8,28.8,0,0,,,47,6,1346,1305
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120,0,-,0,0,0,0,,0,0,4.3,0,0,0,,,0,0,0,0
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1,0,-,0,95,0,0,,1.555,95,2,95,0,0,,,0,0,95,95
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10,0,-,170,17,1,1,1,1.68,187,4.8,187,0,0,,,1,0,187,186
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10,0,-,0,0,0,0,,0,0,4.3,0,0,0,,,0,0,0,0
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25,25,2023-03-29::25.0,0,5,8,20,23,38.63,0.6,2.8,3.8,0,0,,,8,0,5,-3
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,15,0,,0,0,4.8,0,72,0.4,,,15,0,0,-15
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160,14880,2023-04-10::800.0|||2023-04-15::6560.0|||2023-04-10::1600.0|||2023-04-24::1600.0|||2023-05-08::4000.0|||2023-03-29::320.0,0,1723,5426,2726,2672,3817.642,0.3,4.8,3.1,9224.2,57.7,,,5426,1763,-40,-3703
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10,0,-,220,39,25,13,15,9.645,10.4,4.8,10.4,0,0,,,25,0,259,234
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10,0,-,0,7,0,0,,0,7,4.3,7,0,0,,,0,0,7,7
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000,0,-,0,0,0,0,,0,0,4.7,0,0,0,,,0,0,0,0
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000,0,-,0,0,0,0,,0,0,4.7,0,0,0,,,0,0,0,0
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30,0,-,660,66,6,8,5,6.66,121,4.3,121,0,0,,,6,1,725,720
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120,0,-,720,122,264,121,114,114.937,3.2,4.8,3.2,422.4,3.5,,,264,103,739,578
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120,720,2023-04-10::720.0,0,0,0,0,,0,0,4.3,720,0,0,,,0,0,0,0
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1,0,-,0,240,0,0,1,0.31,240,2,240,0,0,,,0,0,240,240
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1,0,-,19,0,0,0,,0,19,4.3,19,0,0,,,0,0,19,19
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,0,-,360,17,1,11,11,7.1,377,4.8,377,0,0,,,1,0,377,376
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,1200,132,18,27,23,26.821,74,4.8,74,0,0,,,18,10,1322,1314
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1,0,-,0,0,0,0,,0,0,2,0,0,0,,,0,0,0,0
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30,0,-,1680,106,0,1,1,0,1786,4.3,1786,0,0,,,0,0,1786,1786
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,2,0,,0,0,4.8,0,9.6,0.1,,,2,0,0,-2
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150,0,-,3300,351,446,229,210,269.034,8.2,4.8,8.2,0,0,,,446,161,3490,3205
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60,0,-,0,0,1,0,,0,0,4.8,0,4.8,0.1,,,1,0,0,-1
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120,0,-,2640,89,79,50,50,44.015,34.5,4.8,34.5,0,0,,,79,12,2717,2650
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160,0,-,0,0,0,0,,0,0,4.8,0,0,0,,,0,0,0,0
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160,480,2023-04-10::480.0,1280,345,587,282,271,401.507,2.8,4.8,3.6,704.4,4.4,,,587,132,1493,1038
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25,0,-,0,5,3,1,2,11.39,1.7,4.8,1.7,9.3,0.4,,,3,1,4,2
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25,0,-,75,11,0,3,2,2.086,86,4.8,86,0,0,,,0,1,85,86
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10,80,2023-04-15::80.0,70,40,7,9,8,15.078,15.7,4.8,27.1,0,0,,,7,5,105,103
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,0,-,0,6,0,0,,0,6,4.3,6,0,0,,,0,0,6,6
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10,0,-,330,97,24,22,23,23.35,17.8,4.8,17.8,0,0,,,24,11,416,403
