,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-03-21 00:00:00::840.0,720.0,332.0,0.0,202.0,214.0,9.8,5.3,17.7,0.0,0.0,,,107.0,0.0,1052.0,945.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5160.0,448.0,3.0,318.0,305.0,36.4,5.3,36.4,0.0,0.0,,,154.0,0.0,5608.0,5454.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,156.0,0.0,75.0,35.0,8.7,3.8,8.7,0.0,0.0,,,18.0,0.0,156.0,138.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,50.0,0.0,23.0,38.0,24.7,5.3,24.7,0.0,0.0,,,19.0,0.0,470.0,451.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,156.0,66.0,24.0,34.0,22.3,5.3,22.3,0.0,0.0,,,50.0,57.0,1059.0,1066.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,26.0,31.0,7.0,5.3,7.0,0.0,0.0,,,20.0,0.0,140.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,77.0,53.0,22.0,22.0,36.8,5.3,36.8,0.0,0.0,,,38.0,42.0,1355.0,1359.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,,3.0,0.0,0.0,0.0,,,,1.0,95.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,182.0,5.3,182.0,0.0,0.0,,,1.0,0.0,182.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,25.0,nan::25.0,0.0,4.0,8.0,20.0,22.0,0.3,3.8,1.9,28.5,1.1,,,15.0,4.0,0.0,-11.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,414.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,11840.0,2023-03-05 00:00:00::1280.0|||2023-03-21 00:00:00::800.0|||2023-03-31 00:00:00::6560.0|||2023-03-21 00:00:00::1600.0|||nan::1600.0,3840.0,1371.0,4222.0,2620.0,2659.0,1.5,5.3,5.0,1031.9999999999993,6.4,,,3440.0,2448.0,2763.0,1771.0
