,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80.0,120.0,840.0,2023-07-21::120.0|||NaT::720.0,120.0,361.0,0.0,280.0,327.0,316.727,481.0,4.7,1321.0,0.0,0.0,,,0.0,0.0,481.0,481.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80.0,120.0,0.0,-,3480.0,312.0,2.0,392.0,466.0,316.99,1896.0,4.7,1896.0,0.0,0.0,,,2.0,1.0,3791.0,3790.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,COMPOUND,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,204.0,177.0,0.0,68.0,90.0,73.899,381.0,2.8,381.0,0.0,0.0,,,0.0,0.0,381.0,381.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,54.0,0.0,29.0,15.0,14.22,414.0,4.8,414.0,0.0,0.0,,,0.0,0.0,414.0,414.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,840.0,88.0,51.0,42.0,46.0,11.166,18.2,4.8,18.2,0.0,0.0,,,51.0,14.0,914.0,877.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,0.0,0.0,10.0,8.0,0.0,120.0,4.8,120.0,0.0,0.0,,,0.0,0.0,120.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1080.0,186.0,47.0,29.0,39.0,11.463,26.9,4.8,26.9,0.0,0.0,,,47.0,3.0,1263.0,1219.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,85.0,0.0,1.0,1.0,2.519,85.0,2.0,85.0,0.0,0.0,,,0.0,0.0,85.0,85.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,5.0,1.0,1.0,1.0,0.295,175.0,4.8,175.0,0.0,0.0,,,1.0,0.0,175.0,174.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,75.0,16.0,8.0,21.0,19.0,0.0,11.4,2.8,11.4,0.0,0.0,,,8.0,0.0,91.0,83.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.8,0.0,62.4,0.4,,,13.0,0.0,0.0,-13.0
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,19040.0,2023-06-22::3840.0|||2023-06-22::3200.0|||2023-06-29::6560.0|||2023-07-21::3200.0|||NaT::2240.0,7040.0,1004.0,5536.0,3279.0,3886.0,2089.674,1.5,4.8,4.9,0.0,0.0,,,5536.0,2107.0,5937.0,2508.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
