,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , 5 , 1 , 1 ,597,5.3,597, -   , -   ,,, 3 , -   ,"1,791 ","1,788 ",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 37 , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,900 ", 246 , 434 , 212 , 190 ,13.3,5.3,13.3, -   , -   ,,, 312 , 143 ,"4,003 ","3,834 ",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 2 , -   ,,,5.3,0, -   , -   ,,,, 7 ,(7),,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 161 , 61 , 53 , 58 ,46.7,5.3,46.7, -   , -   ,,, 60 , 9 ,"2,792 ","2,741 ",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 4 , -   ,,,5.3,0, -   , -   ,,,, 5 ,(5),,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,NaT::480.0," 1,600 ", 657 , 603 , 295 , 257 ,5.2,5.3,6.4, -   , -   ,,, 430 , 207 ,"2,050 ","1,827 ",
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, 10 , 11 , 3 , 1 , 2 ,10.5,5.3,10.5, -   , -   ,,, 2 , 1 ,20 ,19 ,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83,25, -   ,-, 75 , 17 , -   , 2 , 1 ,92,0,92, -   , -   ,,, -   , -   ,92 ,92 ,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,NaT::80.0, 110 , 26 , 6 , 8 , 7 ,22.7,5.3,36, -   , -   ,,, 6 , 4 ,132 ,130 ,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,6 ,,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 450 , 21 , 25 , 21 , 16 ,23.6,5.3,23.6, -   , -   ,,, 20 , 10 ,461 ,451 ,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,9 ,,
