,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-04-02::840.0,720.0,262.0,0.0,207.0,233.0,4.1,8.5,4.3,15.7,0.0,0.0,,,116.0,0.0,982.0,866.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5040.0,438.0,0.0,334.0,319.0,34.5,34.2,4.3,34.2,0.0,0.0,,,160.0,0.0,5478.0,5318.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,152.0,0.0,58.0,46.0,0.546,6.6,2.8,6.6,0.0,0.0,,,23.0,0.0,152.0,129.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,50.0,0.0,28.0,42.0,0.0,22.4,4.8,22.4,0.0,0.0,,,21.0,0.0,470.0,449.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,138.0,69.0,28.0,37.0,4.266,20.7,4.8,20.7,0.0,0.0,,,53.0,19.0,1079.0,1045.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,22.0,13.0,0.0,11.7,4.8,11.7,0.0,0.0,,,12.0,0.0,140.0,128.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,74.0,50.0,21.0,18.0,2.532,41.0,4.8,41.0,0.0,0.0,,,34.0,49.0,1345.0,1360.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,,,0.0,96.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,0.009,182.0,4.8,182.0,0.0,0.0,,,1.0,2.0,180.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,25.0,7.0,8.0,20.0,23.0,10.8,2.0,2.8,2.0,12.799999999999997,0.5,,,16.0,0.0,32.0,16.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,444.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,20.0,-20.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,11840.0,2023-03-05::1280.0|||2023-04-02::800.0|||2023-04-12::6560.0|||2023-04-01::1600.0|||NaT::1600.0,2560.0,1772.0,5464.0,2726.0,2672.0,201.328,1.1,4.8,4.0,3254.399999999999,20.3,,,4068.0,2486.0,1846.0,264.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,220.0,36.0,27.0,13.0,15.0,0.13,12.2,4.8,12.2,0.0,0.0,,,21.0,3.0,253.0,235.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,7.0,
17,104667.0,BINDER M-SM 118,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
18,104778.0,BINDEX SR 150,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
19,104756.0,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,720.0,16.0,11.0,8.0,5.0,0.061,92.0,4.3,92.0,0.0,0.0,,,8.0,14.0,722.0,728.0
20,104807.0,BLU CONTEX T,SAMIA,O,PIGMENT,-,70.0,120.0,0.0,-,0.0,0.0,5.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,3.0,-3.0,
21,105473.0,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70.0,120.0,0.0,-,960.0,73.0,258.0,121.0,114.0,2.761,5.6,4.8,5.6,0.0,0.0,,,186.0,97.0,936.0,847.0
22,105185.0,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70.0,120.0,720.0,2023-04-01::720.0,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
23,104531.0,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,240.0,0.0,0.0,1.0,0.0,240.0,0.0,240.0,0.0,0.0,,,0.0,0.0,240.0,240.0
24,105017.0,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70.0,1.0,0.0,-,19.0,12.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,31.0,
25,104770.0,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,26.0,13.0,11.0,11.0,0.0,32.2,4.8,32.2,0.0,0.0,,,12.0,0.0,386.0,374.0
26,105459.0,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,156.0,15.0,27.0,23.0,2.006,71.4,4.8,71.4,0.0,0.0,,,19.0,8.0,1348.0,1337.0
27,104534.0,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,,,0.0,0.0,
28,104757.0,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,1680.0,111.0,4.0,1.0,1.0,0.0,895.5,4.3,895.5,0.0,0.0,,,2.0,4.0,1787.0,1789.0
29,104802.0,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,36.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,26.0,-26.0,
30,105467.0,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70.0,150.0,0.0,-,3600.0,345.0,441.0,229.0,210.0,8.206,12.1,4.8,12.1,0.0,0.0,,,326.0,289.0,3656.0,3619.0
