,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-03-21 00:00:00::840.0,720.0,353.0,0.0,202.0,214.0,10.0,4.3,17.9,0.0,0.0,,,107.0,0.0,1073.0,966.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5160.0,490.0,3.0,318.0,305.0,36.7,4.3,36.7,0.0,0.0,,,154.0,0.0,5650.0,5496.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,157.0,0.0,75.0,35.0,8.7,2.8,8.7,0.0,0.0,,,18.0,0.0,157.0,139.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,480.0,27.0,0.0,23.0,38.0,26.7,4.8,26.7,0.0,0.0,,,19.0,0.0,507.0,488.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,159.0,67.0,24.0,34.0,22.4,4.8,22.4,0.0,0.0,,,50.0,52.0,1067.0,1069.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,26.0,31.0,7.0,4.8,7.0,0.0,0.0,,,20.0,2.0,138.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,77.0,56.0,22.0,22.0,35.8,4.8,35.8,0.0,0.0,,,39.0,23.0,1374.0,1358.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,1.0,95.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,182.0,4.8,182.0,0.0,0.0,,,1.0,0.0,182.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,0.0,4.0,8.0,20.0,22.0,0.3,2.8,0.3,37.5,1.5,,,15.0,4.0,0.0,-11.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,502.0,0.0,,,4.8,0.0,0.0,0.0,,,,377.0,-377.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,12640.0,2023-02-15 00:00:00::2400.0|||2023-03-05 00:00:00::1280.0|||2023-03-21 00:00:00::800.0|||2023-03-31 00:00:00::6560.0|||2023-03-21 00:00:00::1600.0,1440.0,1626.0,4719.0,2620.0,2659.0,0.8,4.8,4.3,1844.5,11.5,,,3689.0,1851.0,1215.0,-623.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,220.0,40.0,23.0,12.0,13.0,14.4,4.8,14.4,0.0,0.0,,,18.0,4.0,256.0,242.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,7.0,
