,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80.0,120.0,840.0,2023-04-09::840.0,600.0,269.0,0.0,207.0,233.0,114.6,869.0,0.0,1709.0,0.0,0.0,,,0.0,0.0,869.0,869.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80.0,120.0,0.0,-,5040.0,263.0,3.0,334.0,319.0,206.1,1767.7,4.7,1767.7,0.0,0.0,,,3.0,0.0,5303.0,5300.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,146.0,0.0,58.0,46.0,2.746,146.0,0.0,146.0,0.0,0.0,,,0.0,0.0,146.0,146.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,29.0,0.0,28.0,42.0,21.0,449.0,0.0,449.0,0.0,0.0,,,0.0,0.0,449.0,449.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,113.0,81.0,28.0,37.0,28.461,13.2,4.8,13.2,0.0,0.0,,,81.0,30.0,1043.0,992.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,10.0,0.0,22.0,13.0,10.0,130.0,0.0,130.0,0.0,0.0,,,0.0,0.0,130.0,130.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,173.0,51.0,21.0,18.0,23.561,26.9,4.8,26.9,0.0,0.0,,,51.0,8.0,1365.0,1322.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,0.0,96.0,0.0,96.0,0.0,0.0,,,0.0,0.0,96.0,96.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,10.0,1.0,1.0,1.0,0.049,180.0,4.8,180.0,0.0,0.0,,,1.0,2.0,178.0,179.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,25.0,NaT::25.0,25.0,7.0,8.0,20.0,23.0,10.8,4.0,2.8,7.1,0.0,0.0,,,8.0,4.0,28.0,24.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,3.0,0.0,,0.0,0.0,4.8,0.0,14.399999999999999,0.1,,,3.0,22.0,-22.0,-3.0
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,14560.0,2023-04-09::800.0|||2023-04-15::6560.0|||2023-04-09::1600.0|||2023-04-24::1600.0|||NaT::4000.0,2880.0,1624.0,5505.0,2726.0,2672.0,1212.507,0.8,4.8,3.5,7156.499999999999,44.7,,,5505.0,3060.0,1444.0,-1001.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,220.0,29.0,26.0,13.0,15.0,6.78,9.6,4.8,9.6,0.0,0.0,,,26.0,2.0,247.0,223.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,,0.0,7.0,0.0,7.0,0.0,0.0,,,0.0,0.0,7.0,7.0
17,104667.0,BINDER M-SM 118,GSC ITALY,O,-,-,80.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
18,104778.0,BINDEX SR 150,GSC ITALY,O,-,-,80.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
19,104756.0,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,720.0,14.0,6.0,8.0,5.0,1.356,122.3,4.3,122.3,0.0,0.0,,,6.0,4.0,730.0,728.0
20,104807.0,BLU CONTEX T,SAMIA,O,PIGMENT,-,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,-3.0,0.0
21,105473.0,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70.0,120.0,0.0,-,840.0,146.0,264.0,121.0,114.0,46.447,3.7,4.8,3.7,290.3999999999999,2.4,,,264.0,77.0,909.0,722.0
22,105185.0,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70.0,120.0,720.0,2023-04-09::720.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,720.0,0.0,0.0,,,0.0,0.0,0.0,0.0
23,104531.0,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,240.0,0.0,0.0,1.0,0.0,240.0,0.0,240.0,0.0,0.0,,,0.0,0.0,240.0,240.0
24,105017.0,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70.0,1.0,0.0,-,19.0,12.0,0.0,0.0,,0.0,31.0,0.0,31.0,0.0,0.0,,,0.0,0.0,31.0,31.0
25,104770.0,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,19.0,0.0,11.0,11.0,7.1,379.0,0.0,379.0,0.0,0.0,,,0.0,0.0,379.0,379.0
26,105459.0,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,137.0,19.0,27.0,23.0,21.642,70.4,4.8,70.4,0.0,0.0,,,19.0,2.0,1335.0,1318.0
27,104534.0,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
28,104757.0,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,1680.0,111.0,0.0,1.0,1.0,0.0,1791.0,0.0,1791.0,0.0,0.0,,,0.0,0.0,1791.0,1791.0
29,104802.0,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,1.0,0.0,,0.0,0.0,4.8,0.0,4.8,0.0,,,1.0,4.0,-4.0,-1.0
30,105467.0,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70.0,150.0,0.0,-,3300.0,555.0,441.0,229.0,210.0,97.577,8.7,4.8,8.7,0.0,0.0,,,441.0,305.0,3550.0,3414.0
31,104768.0,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70.0,60.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
32,105457.0,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,2640.0,116.0,79.0,50.0,50.0,21.304,34.9,4.8,34.9,0.0,0.0,,,79.0,50.0,2706.0,2677.0
