,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-03-21 00:00:00::840.0,720.0,332.0,0.0,202.0,214.0,9.8,4.3,17.7,0.0,0.0,,,107.0,0.0,1052.0,945.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5160.0,448.0,3.0,318.0,305.0,36.4,4.3,36.4,0.0,0.0,,,154.0,0.0,5608.0,5454.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,156.0,0.0,75.0,35.0,8.7,2.8,8.7,0.0,0.0,,,18.0,0.0,156.0,138.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,50.0,0.0,23.0,38.0,24.7,4.8,24.7,0.0,0.0,,,19.0,0.0,470.0,451.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,156.0,66.0,24.0,34.0,22.3,4.8,22.3,0.0,0.0,,,50.0,57.0,1059.0,1066.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,26.0,31.0,7.0,4.8,7.0,0.0,0.0,,,20.0,0.0,140.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,77.0,56.0,22.0,22.0,35.8,4.8,35.8,0.0,0.0,,,39.0,42.0,1355.0,1358.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,1.0,95.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,182.0,4.8,182.0,0.0,0.0,,,1.0,0.0,182.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,25.0,nan::25.0,0.0,4.0,8.0,20.0,22.0,0.3,2.8,1.9,13.499999999999998,0.5,,,15.0,4.0,0.0,-11.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,414.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,11840.0,2023-03-05 00:00:00::1280.0|||2023-03-21 00:00:00::800.0|||2023-03-31 00:00:00::6560.0|||2023-03-21 00:00:00::1600.0|||nan::1600.0,3840.0,1371.0,4815.0,2620.0,2659.0,1.4,4.8,4.6,747.4000000000007,4.7,,,3737.0,2448.0,2763.0,1474.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,220.0,39.0,22.0,12.0,13.0,14.4,4.8,14.4,0.0,0.0,,,18.0,3.0,256.0,241.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,7.0,
17,104667.0,BINDER M-SM 118,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
18,104778.0,BINDEX SR 150,GSC ITALY,O,-,-,70.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
19,104756.0,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,720.0,18.0,14.0,8.0,5.0,73.8,4.3,73.8,0.0,0.0,,,10.0,18.0,720.0,728.0
20,104807.0,BLU CONTEX T,SAMIA,O,PIGMENT,-,70.0,120.0,0.0,-,0.0,0.0,5.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
21,105473.0,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70.0,120.0,0.0,-,960.0,104.0,276.0,117.0,144.0,5.1,4.8,5.1,0.0,0.0,,,210.0,93.0,971.0,854.0
22,105185.0,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70.0,120.0,720.0,2023-03-21 00:00:00::720.0,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
23,104531.0,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,240.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,0.0,,,0.0,0.0,240.0,240.0
24,105017.0,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70.0,1.0,0.0,-,19.0,12.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,31.0,
25,104770.0,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,26.0,12.0,16.0,18.0,25.7,4.8,25.7,0.0,0.0,,,15.0,0.0,386.0,371.0
26,105459.0,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,159.0,15.0,25.0,19.0,79.9,4.8,79.9,0.0,0.0,,,17.0,11.0,1348.0,1342.0
27,104534.0,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,
28,104757.0,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70.0,30.0,0.0,-,1680.0,111.0,5.0,1.0,1.0,597.0,4.3,597.0,0.0,0.0,,,3.0,0.0,1791.0,1788.0
29,104802.0,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,36.0,0.0,,,4.8,0.0,0.0,0.0,,,,45.0,-45.0,
30,105467.0,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70.0,150.0,0.0,-,3600.0,420.0,431.0,212.0,190.0,13.0,4.8,13.0,0.0,0.0,,,310.0,241.0,3779.0,3710.0
31,104768.0,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70.0,60.0,0.0,-,0.0,0.0,1.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
32,105457.0,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,2640.0,150.0,62.0,53.0,58.0,46.5,4.8,46.5,0.0,0.0,,,60.0,12.0,2778.0,2730.0
33,104798.0,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,3.0,0.0,,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
34,105461.0,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70.0,160.0,480.0,2023-03-21 00:00:00::480.0,1600.0,543.0,607.0,295.0,257.0,5.0,4.8,6.1,0.0,0.0,,,432.0,231.0,1912.0,1711.0
35,105043.0,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70.0,25.0,0.0,-,10.0,10.0,3.0,1.0,2.0,10.0,4.3,10.0,0.0,0.0,,,2.0,7.0,13.0,18.0
36,105546.0,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83.0,25.0,0.0,-,75.0,15.0,0.0,2.0,1.0,90.0,0.0,90.0,0.0,0.0,,,0.0,1.0,89.0,90.0
37,104748.0,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70.0,10.0,80.0,2023-03-31 00:00:00::80.0,90.0,42.0,6.0,8.0,7.0,22.0,4.8,35.3,0.0,0.0,,,6.0,5.0,127.0,126.0
38,105591.0,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70.0,10.0,0.0,-,0.0,6.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,6.0,
39,104749.0,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70.0,10.0,0.0,-,400.0,52.0,24.0,21.0,16.0,22.6,4.8,22.6,0.0,0.0,,,20.0,18.0,434.0,432.0
40,105592.0,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70.0,10.0,0.0,-,0.0,9.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,9.0,
41,104538.0,BUTILGLICOLE,SAMCHEM,D,-,-,14.0,188.0,0.0,-,0.0,0.0,0.0,0.0,,,2.5,0.0,0.0,0.0,,,,0.0,0.0,
42,105282.0,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14.0,188.0,0.0,-,0.0,188.0,0.0,31.0,63.0,5.9,2.5,5.9,0.0,0.0,,,32.0,0.0,188.0,156.0
43,104689.0,CERANIL D 1188,SAMIA,O,-,-,65.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,,4.2,0.0,0.0,0.0,,,,0.0,0.0,
44,104786.0,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70.0,50.0,0.0,-,50.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,50.0,
45,105153.0,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70.0,50.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
46,104541.0,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14.0,190.0,0.0,-,2660.0,126.0,691.0,547.0,576.0,4.4,2.5,4.4,0.0,0.0,,,634.0,486.0,2300.0,2152.0
47,104690.0,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14.0,120.0,0.0,-,120.0,99.0,2.0,10.0,2.0,109.5,2.5,109.5,0.0,0.0,,,2.0,0.0,219.0,217.0
48,104787.0,DERMATOP TP,GSC ITALY,O,-,-,70.0,50.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
49,104773.0,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70.0,110.0,0.0,-,2750.0,263.0,459.0,555.0,477.0,6.4,4.3,6.4,0.0,0.0,,,468.0,233.0,2780.0,2545.0
50,105179.0,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70.0,110.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
51,104780.0,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,2.9,0.0,0.0,0.0,,,,0.0,0.0,
52,104926.0,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),70.0,120.0,480.0,nan::480.0,360.0,22.0,307.0,98.0,104.0,1.9,4.3,4.2,20.599999999999927,0.2,,,206.0,70.0,312.0,176.0
53,105176.0,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,70.0,120.0,480.0,nan::480.0,360.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,360.0,
54,104965.0,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83.0,10.0,0.0,-,1570.0,476.0,348.0,314.0,314.0,6.2,4.8,6.2,0.0,0.0,,,331.0,225.0,1821.0,1715.0
55,104939.0,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70.0,120.0,0.0,-,0.0,39.0,2507.0,2302.0,1975.0,0.0,4.3,0.0,9636.3,80.3,,,2241.0,873.0,-834.0,-2202.0
56,105150.0,AQ SYSTEM 555 LUX,GSC,O,-,ten moi cua AQUAFIX LUCID 555,70.0,120.0,7440.0,2023-03-05 00:00:00::600.0|||2023-03-31 00:00:00::3000.0|||nan::3840.0,3720.0,1008.0,0.0,183.0,367.0,25.7,4.3,66.1,0.0,0.0,,,184.0,0.0,4728.0,4544.0
57,105021.0,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
58,105086.0,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25.0,110.0,4290.0,2023-02-17 00:00:00::1100.0|||nan::1650.0|||nan::1540.0,770.0,306.0,1712.0,1366.0,2062.0,0.6,2.8,2.8,0.0,0.0,,,1887.0,1384.0,-308.0,-811.0
59,104555.0,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25.0,55.0,330.0,2023-02-27 00:00:00::110.0|||nan::220.0,165.0,115.0,315.0,155.0,135.0,1.2,2.8,2.7,22.499999999999922,0.4,,,225.0,336.0,-56.0,55.0
60,104512.0,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23.0,60.0,0.0,-,0.0,0.0,0.0,0.0,,,2.8,0.0,0.0,0.0,,,,0.0,0.0,
