,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-04-02::840.0,720.0,278.0,0.0,202.0,214.0,191.701,9.3,4.3,17.2,0.0,0.0,,,107.0,0.0,998.0,891.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5160.0,377.0,3.0,318.0,305.0,284.97,36.0,4.3,36.0,0.0,0.0,,,154.0,0.0,5537.0,5383.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,152.0,0.0,75.0,35.0,53.45,8.4,2.8,8.4,0.0,0.0,,,18.0,0.0,152.0,134.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,50.0,0.0,23.0,38.0,45.2,24.7,4.8,24.7,0.0,0.0,,,19.0,0.0,470.0,451.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,142.0,66.0,24.0,34.0,24.406,22.0,4.8,22.0,0.0,0.0,,,50.0,19.0,1083.0,1052.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,26.0,31.0,7.5,7.0,4.8,7.0,0.0,0.0,,,20.0,0.0,140.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,76.0,56.0,22.0,22.0,4.835,35.8,4.8,35.8,0.0,0.0,,,39.0,19.0,1377.0,1357.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,,,1.0,95.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,0.283,182.0,4.8,182.0,0.0,0.0,,,1.0,1.0,181.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,25.0,18.0,8.0,20.0,22.0,7.0,2.9,2.8,2.9,0.0,0.0,,,15.0,4.0,39.0,28.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,414.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,11840.0,2023-03-05::1280.0|||2023-04-02::800.0|||2023-04-12::6560.0|||2023-04-01::1600.0|||NaT::1600.0,3840.0,775.0,4815.0,2620.0,2659.0,2733.25,1.2,4.8,4.4,1494.799999999998,9.3,,,3737.0,1568.0,3047.0,878.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,0.0,0.0,
