,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80.0,120.0,840.0,2023-07-21::120.0|||NaT::720.0,0.0,392.0,0.0,280.0,327.0,387.967,392.0,4.7,1232.0,0.0,0.0,,,0.0,0.0,392.0,392.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80.0,120.0,0.0,-,3120.0,553.0,2.0,392.0,466.0,408.64,1836.5,4.7,1836.5,0.0,0.0,,,2.0,1.0,3672.0,3671.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,COMPOUND,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,204.0,181.0,0.0,68.0,90.0,88.003,385.0,2.8,385.0,0.0,0.0,,,0.0,0.0,385.0,385.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,360.0,50.0,0.0,29.0,15.0,17.42,410.0,4.8,410.0,0.0,0.0,,,0.0,0.0,410.0,410.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,840.0,90.0,87.0,42.0,46.0,11.894,10.7,4.8,10.7,0.0,0.0,,,87.0,33.0,897.0,843.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,0.0,0.0,10.0,8.0,0.0,120.0,4.8,120.0,0.0,0.0,,,0.0,0.0,120.0,120.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1080.0,188.0,46.0,29.0,39.0,13.988,27.6,4.8,27.6,0.0,0.0,,,46.0,1.0,1267.0,1222.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,86.0,0.0,1.0,1.0,2.519,86.0,2.0,86.0,0.0,0.0,,,0.0,0.0,86.0,86.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,6.0,1.0,1.0,1.0,0.295,176.0,4.8,176.0,0.0,0.0,,,1.0,0.0,176.0,175.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,75.0,16.0,8.0,21.0,19.0,0.0,11.4,2.8,11.4,0.0,0.0,,,8.0,0.0,91.0,83.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.8,0.0,62.4,0.4,,,13.0,0.0,0.0,-13.0
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,19040.0,2023-06-22::3840.0|||2023-06-22::3200.0|||2023-06-29::6560.0|||2023-07-21::3200.0|||NaT::2240.0,13280.0,1013.0,5685.0,3279.0,3886.0,2851.189,2.5,4.8,5.9,0.0,0.0,,,5685.0,2301.0,11992.0,8608.0
14,104743.0,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
15,105513.0,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70.0,10.0,0.0,-,190.0,30.0,15.0,11.0,6.0,2.867,14.7,4.8,14.7,0.0,0.0,,,15.0,1.0,219.0,205.0
16,105590.0,SHADE WHITE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,7.0,0.0,0.0,0.0,0.0,7.0,4.3,7.0,0.0,0.0,,,0.0,0.0,7.0,7.0
17,104667.0,BINDER M-SM 118,GSC ITALY,O,-,-,80.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
18,104778.0,BINDEX SR 150,GSC ITALY,O,-,-,80.0,1000.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
