,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-04-02::840.0,0.0,249.0,0.0,207.0,233.0,2.1,5.3,9.4,0.0,0.0,,,116.0,0.0,249.0,133.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,0.0,420.0,3.0,334.0,319.0,2.6,5.3,2.6,434.69999999999993,3.6,,,161.0,0.0,420.0,259.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,152.0,0.0,58.0,46.0,6.6,3.8,6.6,0.0,0.0,,,23.0,0.0,152.0,129.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,0.0,50.0,0.0,28.0,42.0,2.4,5.3,2.4,60.9,1.0,,,21.0,0.0,50.0,29.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,0.0,133.0,69.0,28.0,37.0,2.5,5.3,2.5,148.39999999999998,1.2,,,53.0,21.0,112.0,80.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,0.0,20.0,7.0,22.0,13.0,2.0,5.3,2.0,33.0,0.3,,,10.0,0.0,20.0,10.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,0.0,74.0,55.0,21.0,18.0,2.1,5.3,2.1,115.19999999999999,1.0,,,36.0,46.0,28.0,38.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,,3.0,0.0,0.0,0.0,,,,0.0,96.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,0.0,12.0,1.0,1.0,1.0,12.0,5.3,12.0,0.0,0.0,,,1.0,1.0,11.0,11.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,0.0,7.0,8.0,20.0,23.0,0.4,3.8,0.4,54.4,2.2,,,16.0,0.0,7.0,-9.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,308.0,0.0,,,5.3,0.0,0.0,0.0,,,,42.0,-42.0,
13,105460.0,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70.0,160.0,11840.0,2023-03-05::1280.0|||2023-04-02::800.0|||2023-04-12::6560.0|||2023-04-01::1600.0|||NaT::1600.0,0.0,1619.0,4799.0,2726.0,2672.0,0.4,5.3,3.6,6351.199999999999,39.7,,,3736.0,2702.0,-1083.0,-2117.0
