,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,800 ",NaT::1800.0, 200 , 233 , 979 , 555 , 649 ," 1,078 ",0.4,2.8, 2.24 , 490 , 4.9 ,,, 979 , 212 ,221 ,(546),,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 3,198 ", -   ,, -   ,0,4.8, -   ," 15,350 ", 139.5 ,,," 3,198 "," 2,096 ","(2,096)","(3,198)",,
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 11,550 ",2023-03-27::4400.0|||NaT::7150.0, 550 , 375 ," 2,566 "," 2,274 "," 2,566 "," 3,196 ", 0.36 ,4.8, 4.86 , -   , -   ,,, 4 , -   ,925 ,921 ,"(1,171)","(2,277)"
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 86 , 16 , 36 , 27 , 8 ,64.4,4.5, 64.40 , -   , -   ,,, 16 , 16 ,"1,015 ","1,015 ",,
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 5.50 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, -   ,-, -   , 481 , 366 , 362 , 366 , 332 , 1.31 , 2.83 , 1.31 , -   , -   ,,, -   , -   ,481 ,481 ,,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,, -   ,#DIV/0!, 2.47 ,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 165 , 553 , 145 , 240 , 199 , 151 ,5,2.5, 5.00 , -   , -   ,,, 145 , 69 ,649 ,573 ,,
107,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120," 2,400 ",NaT::2400.0," 2,040 ", 901 ," 2,373 "," 1,297 "," 1,183 "," 1,302 ",1.2,2.8, 2.21 ," 1,187 ", 9.9 ,,," 2,373 ", 725 ,"2,216 ",568 ,,
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 5,000 ", 233 , -   , -   ,, 767 ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,"5,233 ","5,233 ",,
109,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 9,600 ",NaT::5400.0|||NaT::4200.0, 240 , 595 ," 4,673 "," 2,183 "," 2,161 "," 2,399 ",0.2,2.9, 2.25 ," 3,271 ", 27.3 ,,," 4,673 "," 2,045 ","(1,210)","(3,838)",,
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10," 3,100 ",2023-03-27::1500.0|||2023-03-14::900.0|||NaT::700.0, 640 , 573 ," 1,303 ", 611 , 611 , 718 ,0.9,4.8, 3.28 ," 1,955 ", 195.4 ,,," 1,303 ", 547 ,666 ,(90),,
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 1,430 ",2023-04-19::1430.0, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , 2 , 1 , 2 , -   , 78.00 , 4.67 , 78.00 , -   , -   ,,, -   , -   ,156 ,156 ,,
115,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
116,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 65 , 96 , 57 , 73 , 8 ,11.9,4.7, 11.90 , -   , -   ,,, 96 , 49 ,"1,096 ","1,049 ",,
117,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-09::960.0|||NaT::1080.0, 480 , 63 , 146 , 61 , 44 , 94 ,3.7,4.7, 17.67 , -   , -   ,,, 146 , 68 ,475 ,397 ,,
118,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),,
119,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 2,280 ", 571 ," 1,838 ", 838 ," 1,021 ", 905 ,1.6,4.8, 1.60 ," 5,882 ", 49.0 ,,," 1,838 "," 1,067 ","1,784 ","1,013 ",,
120,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-09::3000.0|||2023-04-19::1800.0|||2023-04-22::720.0|||2023-04-24::1200.0|||NaT::6000.0, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
121,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,170 ", 81 , 147 , 118 , 121 , 150 ,8.5,4.8, 8.50 , -   , -   ,,, 147 , 74 ,"1,177 ","1,104 ",,
122,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,29 ,29 ,,
123,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 537 , -   ,, -   ,0,4.3, -   ," 2,309 ", 46.2 ,,, 537 , 194 ,(194),(537),,
124,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-13::2000.0, 850 , 296 , 435 , 437 , 435 , 269 , 2.63 , 4.33 , 7.23 , -   , -   ,,, -   , -   ,"1,146 ","1,146 ",,
125,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, 9 , 0.2 ,,, 2 , -   ,0 ,(2),,
126,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 8,250 ", 294 ," 1,126 ", 703 , 607 , 878 ,7.6,4.3, 7.60 , -   , -   ,,," 1,126 ", 205 ,"8,339 ","7,418 ",,
127,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 51 , -   ,, -   ,0,4.8, -   , 245 , 2.2 ,,, 51 , -   ,0 ,(51),,
128,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000, -   ,-," 3,000 "," 1,054 ", 219 ," 1,004 ", 219 ," 1,006 ", 18.51 , 4.83 , 18.51 , -   , -   ,,, -   , -   ,"4,054 ","4,054 ",,
129,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 18,480 ",NaT::1680.0|||NaT::3240.0|||NaT::3600.0|||2023-03-16::3000.0|||2023-03-16::2040.0|||NaT::4920.0," 2,520 ", 570 ," 6,552 "," 3,532 "," 4,596 "," 6,312 ",0.5,2.8, 3.32 , -   , -   ,,," 6,552 "," 3,659 ",(569),"(3,462)",,
130,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 3.80 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
131,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 8,400 ", 374 , 162 , 231 , 173 , 236 ,54.2,4.3, 54.20 , -   , -   ,,, 162 , -   ,"8,774 ","8,612 ",,
132,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 3.80 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
133,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 20,000 ",2023-04-11::10000.0|||2023-05-05::10000.0," 5,000 ", 549 ," 2,540 "," 4,508 "," 5,903 "," 6,179 ",2.2,4.3, 10.07 , -   , -   ,,," 2,540 "," 1,070 ","4,479 ","3,009 ",,
134,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000," 8,000 ",2023-03-19::8000.0, -   , -   ," 3,380 ", 986 ,, -   ,0,4.5, 2.37 ," 7,098 ", 7.1 ,,," 3,380 "," 2,176 ","(2,176)","(3,380)",,
135,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-09::4560.0," 1,680 ", 825 ," 1,631 "," 1,939 "," 1,652 "," 1,653 ",1.5,4.3, 4.30 , -   , -   ,,," 1,631 ", 517 ,"1,988 ",874 ,,
136,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   ,,,, -   , -   ,0 ,0 ,,
137,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
138,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 43 , 0.3 ,,, 9 , -   ,0 ,(9),,
139,105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 12,150 ",2023-04-09::3900.0|||2023-04-24::3750.0|||NaT::4500.0, 150 , 203 ," 3,195 "," 1,454 "," 1,569 "," 1,954 ",0.1,4.8, 3.90 ," 2,875 ", 19.2 ,,," 3,195 "," 1,561 ","(1,208)","(2,842)",,
140,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-13::120.0, 50 , 71 , 18 , 17 , 20 , 27 ,6.7,4.8, 13.37 , -   , -   ,,, 18 , 6 ,115 ,103 ,,
141,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,,
142,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 10,580 ",2023-03-27::5750.0|||NaT::575.0|||NaT::4255.0," 6,210 ", 597 ," 4,447 "," 3,740 "," 3,734 "," 5,175 ",1.5,4.8, 3.88 ," 4,002 ", 34.8 ,,," 4,447 "," 1,626 ","5,181 ","2,360 ",,
143,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115," 3,795 ",NaT::805.0|||2023-03-27::2990.0," 3,450 ", 647 ," 1,369 "," 1,105 "," 1,004 "," 1,972 ",3,4.8, 5.77 , -   , -   ,,," 1,369 ", 811 ,"3,286 ","2,728 ",,
144,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
145,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
146,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-," 1,080 ", 48 , 110 , 100 , 78 , 100 ,10.3,4.8, 10.30 , -   , -   ,,, 110 , 20 ,"1,108 ","1,018 ",,
147,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 84 , 122 , 75 , 66 , 72 ,5.9,4.8, 5.90 , -   , -   ,,, 122 , 19 ,703 ,600 ,,
148,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
149,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 153 , 164 , 45 , 35 , 94 ,9,4.8, 9.00 , -   , -   ,,, 164 , 25 ,"1,448 ","1,309 ",,
150,105042,SAMIANIL CB ROSSO RP,SAMIA,O,COMPOUND,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 6 , -   , 1 , -   , 1 ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, 1 , -   ,46 ,45 ,,
151,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 38 , 5 , 5 , 5 , 13 , 49.60 ,4.8, 49.60 , -   , -   ,,, 5 , 1 ,247 ,243 ,,
152,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,4 ,4 ,,
153,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
154,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 41 , 33 , 10 ,, -   ,43.7,4.1, 43.70 , -   , -   ,,, 33 , -   ,"1,441 ","1,408 ",,
155,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, 120 , 50 , 16 , 12 , 16 , -   , 10.63 ,4.3, 10.63 , -   , -   ,,, 7 , 6 ,164 ,163 ,,
156,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-," 2,660 "," 1,609 "," 2,009 "," 3,095 "," 3,394 "," 3,684 ",2.1,2.5, 2.10 , 804 , 4.2 ,,," 2,009 ", 569 ,"3,700 ","2,260 ",,
157,105161,PM1–CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.47 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
158,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.47 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
159,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, -   , -   , 133 , 117 , 133 , 125 , -   , 2.47 , -   , -   , -   ,,, -   , -   ,0 ,0 ,,
160,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 124 , 8 , 10 , 8 , 3 , 37.88 ,2.5, 37.88 , -   , -   ,,, 4 , 4 ,299 ,299 ,,
161,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 109 , 192 , 113 , 141 , 16 ,6.8,4.7, 6.80 , -   , -   ,,, 192 , 98 ,"1,211 ","1,117 ",,
162,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
163,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 600 , 106 , 109 , 74 , 67 , 119 ,6.5,4.8, 6.50 , -   , -   ,,, 109 , 60 ,646 ,597 ,,
164,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-09::240.0|||2023-04-13::240.0, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
165,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 93 , 18 , 16 , 17 , 29 ,15.2,4.8, 15.20 , -   , -   ,,, 18 , 6 ,267 ,255 ,,
166,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,,
167,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
168,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
169,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
170,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
171,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180," 1,440 ",NaT::1440.0, 720 , 507 ," 1,311 ", 991 ," 1,047 "," 1,253 ",0.9,2.8, 2.00 ," 1,049 ", 5.8 ,,," 1,311 ", 610 ,617 ,(84),,
172,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
173,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,080 ", 115 , 86 , 43 , 38 , 35 ,13.9,4.8, 13.90 , -   , -   ,,, 86 , 7 ,"1,188 ","1,109 ",,
174,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
175,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
176,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 196 , 97 , 36 , 29 , 23 ,23.1,4.8, 23.10 , -   , -   ,,, 97 , 10 ,"2,226 ","2,139 ",,
177,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 140 , 67 , 39 , 45 , 29 ,52.2,4.8, 52.20 , -   , -   ,,, 67 , 76 ,"3,424 ","3,433 ",,
178,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 120 , 41 , 24 , 14 , 19 ,38,4.8, 38.00 , -   , -   ,,, 41 , 2 ,"1,558 ","1,519 ",,
179,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 530 , 59 , 60 , 50 , 52 , 56 ,9.8,4.8, 9.80 , -   , -   ,,, 60 , 33 ,556 ,529 ,,
180,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,9 ,9 ,,
181,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
182,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 440 , -   , 24 , 66 , 72 , -   ,18.3,2.8, 18.30 , -   , -   ,,, 24 , 14 ,426 ,416 ,,
183,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, 170 ,NaT::170.0, -   , 118 , 78 , 53 , 50 , 101 ,1.5,4.3, 3.68 , 47 , 4.7 ,,, 78 , 15 ,103 ,40 ,,
184,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 290 ,2023-04-15::180.0|||2023-04-19::110.0, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
185,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
186,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
187,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 202 , 107 , 41 , 38 , 60 ,13.1,4.8, 13.10 , -   , -   ,,, 107 , 50 ,"1,352 ","1,295 ",,
188,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, 8 , 0.8 ,,, 3 , -   ,0 ,(3),,
189,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,,#DIV/0!, 2.47 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
190,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 64 , 8 , 14 , 8 , 10 , 83.00 ,4.8, 83.00 , -   , -   ,,, 2 , -   ,664 ,662 ,,
191,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
192,104854,RODA PUR K 312,TFL,O,COMPOUND,-,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
193,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",85,120, 360 ,2023-03-27::360.0, 480 , 14 , 11 , 119 , 108 , 291 ,44.9,4.8, 77.63 , -   , -   ,,, 11 , -   ,494 ,483 ,,
194,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
195,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 122 , 165 , 75 , 71 , 121 ,5.1,4.8, 5.10 , -   , -   ,,, 165 , 67 ,775 ,677 ,,
196,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160, -   ,-, 320 , 191 , 70 , 133 , 190 , 282 ,7.3,2.5, 7.30 , -   , -   ,,, 70 , 158 ,353 ,441 ,,
197,104983,RECAPUR FIX TVN3,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
198,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 450 ,NaT::150.0|||2023-03-09::150.0|||NaT::150.0, -   , 45 , 240 , 103 , 136 , 151 ,0.2,2.8, 2.08 , 168 , 3.4 ,,, 240 , 88 ,(43),(195),,
199,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,80,10, 300 ,2023-04-15::300.0," 1,060 ", 193 , 339 , 292 , 303 , 329 ,3.7,4.7, 4.58 , 34 , 3.4 ,,, 339 , 143 ,"1,110 ",914 ,,
200,105256,XR-5525,STAHL Singapore,O,-,-,70,5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
201,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5, -   ,-, 40 , 23 , 4 , 6 , 4 , 3 , 15.75 ,4.3, 15.75 , -   , -   ,,, 8 , 2 ,61 ,55 ,,
202,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
