,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1,  -    ,-, 19 , 12 ,,  -    , -   ,  -    ,,  -    ,31,0,31,  -    ,  -    ,,,  -    ,  -    ,31,31,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60,  -    ,-, 360 , 26 ,,  -    , -   , 11 , 11 ,  -    ,386,0,386,  -    ,  -    ,,,  -    ,  -    ,386,386,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,200 ", 143 ,, 34 ,34, 27 , 23 , 16 ,39.5,4.8,39.5,  -    ,  -    ,,, 34 , 7 ,"1,336","1,309",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30,  -    ,-," 1,680 ", 111 ,, 1 ,1, 1 , 1 ,  -    ,1791,4.3,1791,  -    ,  -    ,,, 1 ,  -    ,"1,791","1,790",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160,  -    ,-,  -    ,  -    ,, 2 ,2,  -    ,,  -    ,0,4.8,0, 10 , 0.1 ,,, 2 , 4 ,-4,-2,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150,  -    ,-," 3,600 ", 338 ,, 586 ,586, 229 , 210 , 15 ,6.7,4.8,6.7,  -    ,  -    ,,, 586 , 302 ,"3,636","3,352",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,, 2 ,2,  -    ,,  -    ,0,4.8,0, 10 , 0.2 ,,, 2 ,  -    ,0,-2,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 2,640 ", 136 ,, 156 ,156, 50 , 50 , 1 ,17.8,4.8,17.8,  -    ,  -    ,,, 156 , 42 ,"2,734","2,620",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160,  -    ,-,  -    ,  -    ,, 7 ,7,  -    ,,  -    ,0,4.8,0, 34 , 0.2 ,,, 7 , 3 ,-3,-7,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-02::480.0," 1,600 ", 325 ,, 801 ,801, 282 , 271 , 140 ,2.4,4.8,3," 1,442 ", 9.0 ,,, 801 , 384 ,"1,541","1,124",
