,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120, 360 ,2023-04-13::360.0, 480 , 121 ,, 490 ,490, 205 , 217 , 148 ,1.2,4.8,2," 1,372 ", 11.4 ,,, 490 , 83 ,518,111,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10,  -    ,-,  -    , 14 ,, 11 ,11, 9 , 5 , 1 ,1.3,4.8,1.3, 39 , 3.8 ,,, 11 , 3 ,11,3,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,NaT::30.0, 40 ,  -    ,,  -    , -   ,  -    ,, 2 ,40,0,70,  -    ,  -    ,,,  -    ,  -    ,40,40,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100,  -    ,-, 100 ,  -    ,,  -    , -   ,  -    ,,  -    ,100,0,100,  -    ,  -    ,,,  -    ,  -    ,100,100,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100, 500 ,2023-03-09::500.0,  -    , 540 ,," 1,938 ",1938, 555 , 649 , 471 ,0.3,2.8,0.5," 4,457 ", 44.6 ,,," 1,938 ", 769 ,-229,"-1,398",
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,83,110,  -    ,-,  -    ,  -    ,," 3,546 ",3546,  -    ,,  -    ,0,4.8,0," 17,021 ", 154.7 ,,," 3,546 "," 2,067 ","-2,067","-3,546",
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",83,110," 4,400 ",2023-03-27::4400.0," 2,750 ", 289 ,, 48 ,48," 2,274 "," 2,566 "," 1,072 ",63.3,4.8,155,  -    ,  -    ,,, 48 ,  -    ,"3,039","2,991",
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45,  -    ,-, 945 , 86 ,, 54 ,54, 36 , 27 , 8 ,19.1,4.5,19.1,  -    ,  -    ,,, 54 , 16 ,"1,015",977,
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70,  -    ,-, 210 , 487 ,,  -    , -   , 362 , 366 , 116 ,697,0,697,  -    ,  -    ,,,  -    ,  -    ,697,697,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1,  -    ,-, 3 , 2 ,,  -    , -   ,  -    ,,  -    ,5,0,5,  -    ,  -    ,,,  -    ,  -    ,5,5,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165,  -    ,-, 495 , 356 ,, 218 ,218, 240 , 199 , 18 ,3.9,2.5,3.9,  -    ,  -    ,,, 218 , 46 ,805,633,
107,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120," 1,920 ",2023-03-09::1920.0, 960 , 916 ,," 2,771 ",2771," 1,297 "," 1,183 ", 447 ,0.7,2.8,1.4," 3,879 ", 32.3 ,,," 2,771 "," 1,585 ",291,-895,
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,83,1000,  -    ,-," 6,000 ",  -    ,,  -    , -   ,  -    ,,  -    ,6000,0,6000,  -    ,  -    ,,,  -    ,  -    ,"6,000","6,000",
109,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 5,400 ",NaT::5400.0," 2,280 ", 161 ,," 5,723 ",5723," 2,183 "," 2,161 ", 793 ,0.4,2.9,1.4," 8,585 ", 71.5 ,,," 5,723 "," 3,281 ",-840,"-3,282",
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,83,10," 3,100 ",2023-03-27::1500.0|||2023-03-14::900.0|||NaT::700.0," 1,410 ", 344 ,," 1,506 ",1506, 611 , 611 , 177 ,1.2,4.8,3.2," 2,410 ", 241.0 ,,," 1,506 ", 790 ,964,248,
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 1,430 ",2023-04-19::1430.0,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,1430,  -    ,  -    ,,,  -    ,  -    ,0,0,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,70,1000,  -    ,-,  -    , 156 ,,  -    , -   , 1 , 2 ,  -    ,156,0,156,  -    ,  -    ,,,  -    ,  -    ,156,156,
115,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,70,1000,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
116,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",70,1000,  -    ,-," 1,080 ", 70 ,, 63 ,63, 57 , 73 , 3 ,18.3,4.3,18.3,  -    ,  -    ,,, 63 , 10 ,"1,140","1,087",
117,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",70,120, 960 ,2023-04-02::960.0, 480 , 79 ,, 114 ,114, 61 , 44 , 78 ,4.9,4.3,13.3,  -    ,  -    ,,, 114 ,  -    ,559,445,
118,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120,  -    ,-,  -    ,  -    ,, 4 ,4,  -    ,,  -    ,0,4.8,0, 19 , 0.2 ,,, 4 , 1 ,-1,-4,
119,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120,  -    ,-," 3,000 ", 434 ,," 1,709 ",1709, 838 ," 1,021 ", 323 ,2,4.8,2," 4,785 ", 39.9 ,,," 1,709 ", 839 ,"2,595","1,725",
120,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 6,720 ",2023-04-02::3000.0|||2023-04-19::1800.0|||2023-04-22::720.0|||NaT::1200.0,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,6720,  -    ,  -    ,,,  -    ,  -    ,0,0,
121,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10,  -    ,-," 1,270 ", 100 ,, 158 ,158, 118 , 121 , 31 ,8.7,4.8,8.7,  -    ,  -    ,,, 158 , 65 ,"1,305","1,212",
122,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10,  -    ,-, 5 , 24 ,,  -    , -   ,  -    ,,  -    ,29,0,29,  -    ,  -    ,,,  -    ,  -    ,29,29,
123,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50,  -    ,-,  -    ,  -    ,, 530 ,530,  -    ,,  -    ,0,4.3,0," 2,279 ", 45.6 ,,, 530 , 99 ,-99,-530,
124,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-13::2000.0," 1,250 ", 140 ,,  -    , -   , 437 , 435 , 24 ,1390,0,3390,  -    ,  -    ,,,  -    ,  -    ,"1,390","1,390",
125,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50,  -    ,-,  -    ,  -    ,, 6 ,6,  -    ,,  -    ,0,4.3,0, 26 , 0.5 ,,, 6 ,  -    ,0,-6,
126,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50,  -    ,-," 8,950 ", 111 ,," 1,392 ",1392, 703 , 607 , 361 ,6.5,4.3,6.5,  -    ,  -    ,,," 1,392 ", 390 ,"8,671","7,669",
127,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110,  -    ,-,  -    ,  -    ,, 35 ,35,  -    ,,  -    ,0,4.8,0, 168 , 1.5 ,,, 35 , 152 ,-152,-35,
128,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,83,1000,  -    ,-," 4,000 ", 831 ,,  -    , -   ," 1,004 ", 219 , 229 ,4831,0,4831,  -    ,  -    ,,,  -    ,  -    ,"4,831","4,831",
129,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 8,520 ",NaT::1680.0|||NaT::3240.0|||NaT::3600.0," 1,920 ", 725 ,," 6,771 ",6771," 3,532 "," 4,596 "," 1,716 ",0.4,2.8,1.6," 8,125 ", 67.7 ,,," 6,771 "," 4,886 ","-2,241","-4,126",
130,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
131,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120,  -    ,-," 8,400 ", 536 ,, 194 ,194, 231 , 173 , 73 ,46.1,4.3,46.1,  -    ,  -    ,,, 194 , 13 ,"8,923","8,742",
132,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
133,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 20,000 ",2023-04-11::10000.0|||NaT::10000.0," 8,000 "," 1,829 ",," 2,753 ",2753," 4,508 "," 5,903 "," 1,899 ",3.6,4.3,10.8,  -    ,  -    ,,," 2,753 ", 925 ,"8,904","7,076",
134,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000," 8,000 ",2023-03-25::8000.0,  -    ,  -    ,," 3,681 ",3681, 986 ,,  -    ,0,4.5,2.2," 8,466 ", 8.5 ,,," 3,681 "," 2,437 ","-2,437","-3,681",
135,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-02::4560.0," 3,120 ", 846 ,," 2,079 ",2079," 1,939 "," 1,652 ", 192 ,1.9,4.3,4.1, 416 , 3.5 ,,," 2,079 "," 1,460 ","2,506","1,887",
136,105170,AQ SYSTEM EF 91/8,,,-,-,0,,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,,,,  -    ,  -    ,0,0,
137,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
138,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160,  -    ,-,  -    ,  -    ,, 7 ,7,  -    ,,  -    ,0,4.8,0, 34 , 0.2 ,,, 7 , 9 ,-9,-7,
139,105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 7,650 ",2023-04-02::3900.0|||NaT::3750.0," 1,500 ", 554 ,," 3,638 ",3638," 1,454 "," 1,569 ", 263 ,0.6,4.8,2.7," 7,640 ", 50.9 ,,," 3,638 "," 2,555 ",-501,"-1,584",
140,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-13::120.0, 100 , 42 ,, 22 ,22, 17 , 20 , 6 ,6.5,4.8,11.9,  -    ,  -    ,,, 22 , 12 ,130,120,
141,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 5 ,,  -    , -   ,  -    ,,  -    ,5,0,5,  -    ,  -    ,,,  -    ,  -    ,5,5,
142,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,83,115," 6,325 ",2023-03-27::5750.0|||NaT::575.0," 9,085 ", 841 ,," 5,675 ",5675," 3,740 "," 3,734 "," 2,055 ",1.7,4.8,2.9," 10,783 ", 93.8 ,,," 5,675 "," 3,970 ","5,956","4,251",
143,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",83,115," 3,795 ",NaT::805.0|||2023-03-27::2990.0," 4,830 ", 753 ,," 1,124 ",1124," 1,105 "," 1,004 ", 142 ,5,4.8,8.3,  -    ,  -    ,,," 1,124 ", 125 ,"5,458","4,459",
144,104728,PRIMEX UD 32,GSC ITALY,O,-,-,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
145,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
146,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",83,120,  -    ,-," 1,200 ", 15 ,, 124 ,124, 100 , 78 , 14 ,9.8,4.8,9.8,  -    ,  -    ,,, 124 , 42 ,"1,173","1,091",
147,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,83,22,  -    ,-, 726 , 33 ,, 139 ,139, 75 , 66 , 35 ,5.5,4.8,5.5,  -    ,  -    ,,, 139 , 33 ,726,620,
148,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
149,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,440 ", 93 ,, 235 ,235, 45 , 35 , 33 ,6.5,4.8,6.5,  -    ,  -    ,,, 235 , 93 ,"1,440","1,298",
150,105042,SAMIANIL CB ROSSO RP,SAMIA,O,COMPOUND,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25,  -    ,-, 40 , 6 ,, 1 ,1, 1 ,  -    , 1 ,46,4.3,46,  -    ,  -    ,,, 1 ,  -    ,46,45,
151,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10,  -    ,-, 230 , 29 ,, 7 ,7, 5 , 5 , 2 ,37,4.8,37,  -    ,  -    ,,, 7 , 4 ,255,252,
152,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 4 ,,  -    , -   ,  -    ,,  -    ,4,0,4,  -    ,  -    ,,,  -    ,  -    ,4,4,
153,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
154,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30,  -    ,-," 1,400 ", 41 ,, 16 ,16, 10 ,,  -    ,90.1,4.1,90.1,  -    ,  -    ,,, 16 ,  -    ,"1,441","1,425",
155,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120,  -    ,-, 120 , 50 ,, 18 ,18, 12 , 16 ,  -    ,9.4,4.3,9.4,  -    ,  -    ,,, 18 ,  -    ,170,152,
156,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190,  -    ,-, 570 ," 1,274 ",," 3,433 ",3433," 3,095 "," 3,394 "," 1,147 ",0.5,2.5,0.5," 6,866 ", 36.1 ,,," 3,433 "," 1,551 ",293,"-1,589",
157,105161,PM1–CLEANING,SAMCHEM,D,-,-,14,190,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
158,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
159,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25,  -    ,-, 125 ,  -    ,,  -    , -   , 117 , 133 ,  -    ,125,0,125,  -    ,  -    ,,,  -    ,  -    ,125,125,
160,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179,  -    ,-, 179 , 125 ,, 13 ,13, 10 , 8 , 2 ,23.4,2.5,23.4,  -    ,  -    ,,, 13 , 4 ,300,291,
161,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",70,1000,  -    ,-," 1,200 ", 120 ,, 131 ,131, 113 , 141 , 5 ,10.1,4.3,10.1,  -    ,  -    ,,, 131 , 19 ,"1,301","1,189",
162,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
163,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120,  -    ,-, 600 , 185 ,, 185 ,185, 74 , 67 , 40 ,4.2,4.8,4.2, 111 , 0.9 ,,, 185 , 94 ,691,600,
164,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-02::240.0|||2023-04-13::240.0,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,480,  -    ,  -    ,,,  -    ,  -    ,0,0,
165,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10,  -    ,-, 230 , 62 ,, 32 ,32, 16 , 17 , 10 ,9.1,4.8,9.1,  -    ,  -    ,,, 32 , 11 ,281,260,
166,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 6 ,,  -    , -   ,  -    ,,  -    ,6,0,6,  -    ,  -    ,,,  -    ,  -    ,6,6,
167,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
168,104913,LS 16-235,STAHL Singapore,O,-,-,23,170,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
169,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
170,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
171,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180, 900 ,2023-03-09::900.0, 720 , 455 ,," 1,349 ",1349, 991 ," 1,047 ", 404 ,0.9,2.8,1.5," 1,754 ", 9.7 ,,," 1,349 ", 575 ,600,-174,
172,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
173,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,080 ", 130 ,, 78 ,78, 43 , 38 , 16 ,15.5,4.8,15.5,  -    ,  -    ,,, 78 , 20 ,"1,190","1,132",
174,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
175,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,, 1 ,1,  -    ,,  -    ,0,4.8,0, 5 , 0.1 ,,, 1 ,  -    ,0,-1,
176,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 2,160 ", 88 ,, 98 ,98, 36 , 29 , 11 ,22.9,4.8,22.9,  -    ,  -    ,,, 98 , 16 ,"2,232","2,150",
177,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 3,360 ", 163 ,, 46 ,46, 39 , 45 , 7 ,76.6,4.8,76.6,  -    ,  -    ,,, 46 , 22 ,"3,501","3,477",
178,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,440 ", 129 ,, 64 ,64, 24 , 14 , 11 ,24.5,4.8,24.5,  -    ,  -    ,,, 64 , 14 ,"1,555","1,505",
179,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10,  -    ,-, 560 , 68 ,, 74 ,74, 50 , 52 , 17 ,8.5,4.8,8.5,  -    ,  -    ,,, 74 , 34 ,594,554,
180,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 9 ,,  -    , -   ,  -    ,,  -    ,9,0,9,  -    ,  -    ,,,  -    ,  -    ,9,9,
181,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
182,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110,  -    ,-, 440 ,  -    ,, 83 ,83, 66 , 72 ,  -    ,5.3,2.8,5.3,  -    ,  -    ,,, 83 , 12 ,428,357,
183,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10,  -    ,-, 120 , 80 ,, 84 ,84, 53 , 50 , 20 ,2.4,4.3,2.4, 160 , 16.0 ,,, 84 , 68 ,132,116,
184,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 290 ,2023-04-13::180.0|||2023-04-19::110.0,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,290,  -    ,  -    ,,,  -    ,  -    ,0,0,
185,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
186,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,, 1 ,1,  -    ,,  -    ,0,4.8,0, 5 , 0.1 ,,, 1 , 2 ,-2,-1,
187,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150,  -    ,-," 1,350 ", 97 ,, 154 ,154, 41 , 38 , 16 ,9.4,4.8,9.4,  -    ,  -    ,,, 154 , 65 ,"1,382","1,293",
188,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10,  -    ,-,  -    ,  -    ,, 7 ,7,  -    ,,  -    ,0,2.5,0, 18 , 1.8 ,,, 7 , 1 ,-1,-7,
189,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
190,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",83,20,  -    ,-, 660 , 14 ,, 10 ,10, 14 , 8 , -   ,67.4,4.8,67.4,  -    ,  -    ,,, 10 ,  -    ,674,664,
191,104842,RODA CARE NC,,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
192,104854,RODA PUR K 312,TFL,O,COMPOUND,-,83,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
193,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",83,120, 360 ,2023-03-27::360.0, 480 , 126 ,, 77 ,77, 119 , 108 , 59 ,7.9,4.8,12.5,  -    ,  -    ,,, 77 , 19 ,587,529,
194,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
195,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-, 720 , 205 ,, 273 ,273, 75 , 71 , 38 ,3.4,4.8,3.4, 382 , 3.2 ,,, 273 , 116 ,809,652,
