,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,,2,0, -   , -   ,,,, -   ,0,,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , 3 , 1 , 1 , -   ,895.5,4.3,895.5, -   , -   ,,, 2 , 3 ,"1,788","1,789",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 29 , -   ,, -   ,,4.8,0, -   , -   ,,,, 53 ,-53,,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,600 ", 345 , 401 , 229 , 210 , 8 ,12.9,4.8,12.9, -   , -   ,,, 306 , 260 ,"3,685","3,639",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 137 , 77 , 50 , 50 , 0 ,43.4,4.8,43.4, -   , -   ,,, 64 , 80 ,"2,697","2,713",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 3 , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-01::480.0," 1,600 ", 428 , 580 , 282 , 271 , 37 ,4.8,4.8,5.9, -   , -   ,,, 426 , 273 ,"1,755","1,602",
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, 10 , 5 , 3 , 1 , 2 , 3 ,7.5,4.3,7.5, -   , -   ,,, 2 , 12 ,3,13,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83,25, -   ,-, 75 , 14 , -   , 3 , 2 , 0 ,89,4.8,89, -   , -   ,,, 1 , -   ,89,88,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-12::80.0, 90 , 40 , 5 , 9 , 8 , 0 ,21.7,4.8,35, -   , -   ,,, 6 , 10 ,120,124,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,6,,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 400 , 43 , 23 , 22 , 23 , 3 ,19.3,4.8,19.3, -   , -   ,,, 23 , 24 ,419,420,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,9,,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   ,,2.5,0, -   , -   ,,,, -   ,0,,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , 188 , -   , 63 , 125 , -   ,3,2.5,3, -   , -   ,,, 62 , -   ,188,126,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   ,,4.2,0, -   , -   ,,,, -   ,0,,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70,50, -   ,-, -   , 46 , -   , -   ,, 4 ,,4.3,0, -   , -   ,,,, -   ,46,,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70,50, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 2,090 ", 360 , 684 , 597 , 655 , 121 ,3.7,2.5,3.7, -   , -   ,,, 670 , 582 ,"1,868","1,780",
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 8 , 1 , -   ,109.5,2.5,109.5, -   , -   ,,, 2 , -   ,219,217,
