,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 3,600 ",NaT::3600.0," 4,320 ", 530 ," 2,736 "," 1,179 "," 1,521 "," 3,164 ", -   , 1.77 ,4.3, 3.09 ," 3,315 ", 30.0 ," 3,600.0 ", 4.40 ," 2,736 ", 793 ,"4,057 ","2,114 ",
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 119,000 ",2023-04-17::2000.0|||2023-04-15::8000.0|||2023-04-17::10000.0|||2023-04-17::18000.0|||2023-04-22::5000.0|||2023-04-24::24000.0|||2023-04-24::9000.0|||NaT::24000.0|||2023-05-14::6000.0|||NaT::6000.0|||NaT::4000.0|||NaT::3000.0," 1,000 ", 939 ," 41,866 "," 18,152 "," 19,534 "," 28,315 "," 1,011 ", 0.05 ,4.7, 2.89 ," 75,831 ", 80.0 ," 80,000.0 ", 4.80 ," 41,866 "," 20,092 ","(18,153)","(39,927)",Air freight (7000kgs) due the shipping lines not arives on time
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , -   ," 11,925 "," 3,187 "," 2,695 ", 49 , -   , -   ,4.7, -   , -   , -   , -   , -   ," 11,925 "," 4,219 ","(4,219)","(11,925)",Replacement
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,80,1000," 42,000 ",2023-04-17::3000.0|||2023-04-22::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-05-14::12000.0|||2023-05-14::6000.0," 4,000 "," 1,025 ", -   ," 1,415 "," 2,830 "," 7,176 ", 306 , 0.42 ,4.7, 3.94 ," 2,141 ", 15.0 ," 15,000.0 ", 4.78 , -   , -   ,"5,025 ","5,025 ",
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 28,000 ",2023-05-12::11000.0|||2023-05-16::7000.0|||2023-05-23::10000.0," 4,000 "," 1,689 "," 5,817 "," 1,613 ", 503 ," 1,509 ", -   , 0.98 ,4.8, 5.79 , -   , -   , -   , 5.79 ," 5,817 "," 5,970 ",(281),(128),May have the potential miss until the nearest shipment
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 109 , -   ,,#N/A, -   , -   ,2.5, -   , 273 , 1.4 , 280.0 , 2.57 , 109 , 123 ,(123),(109),
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 393 , -   , 100 , 111 , 142 , 1 , 7.14 ,2.5, 7.14 , -   , -   , -   , 7.14 , -   , -   ,793 ,793 ,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,3.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 56 , 3 , 9 , 4 , 8 , -   , 359.00 ,4.8, 359.00 , -   , -   , -   , 359.00 , 3 , 2 ,"1,434 ","1,433 ",
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,3.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,3.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-17::360.0|||2023-05-14::1080.0, 240 , 119 , 478 , 233 , 280 , 401 , 8 , 0.75 ,4.8, 3.76 , 495 , 5.0 , 600.0 , 5.02 , 478 , 59 ,300 ,(119),
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 10 , 21 , 7 , 3 , 1 , -   , 0.48 ,4.8, 0.48 , -   , -   , -   , 0.48 , 21 , 3 ,7 ,(11),
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 4 , -   , 1 , 2 , 6 , 0 , 1.62 ,4.3, 3.05 , 3 , 4.0 , 40.0 , 4.95 , -   , -   ,34 ,34 ,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,100 ,100 ,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100, -   ,-," 1,800 ", 69 ," 1,432 ", 683 , 912 ," 1,295 ", 48 , 1.31 ,2.8, 1.31 ," 2,141 ", 25.0 ," 2,500.0 ", 3.05 ," 1,432 ", 470 ,"1,399 ",437 ,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 4,173 ", -   ,,#N/A, -   , -   ,4.8, -   ," 20,030 ", 182.1 ," 20,031.0 ", 4.80 ," 4,173 "," 2,699 ","(2,699)","(4,173)",
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 7,150 ",2023-05-23::3190.0|||NaT::3960.0," 3,630 ", 342 , 4 ," 2,692 "," 3,002 "," 4,228 ", 125 , 0.95 ,4.8, 2.67 ," 8,908.40 ", 85.0 ," 9,350.0 ", 4.91 , 4 , -   ,"3,972 ","3,968 ",
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 56 , 17 , 41 , 41 , 42 , -   , 58.88 ,4.5, 58.88 , -   , -   , -   , 58.88 , 17 , -   ,"1,001 ",984 ,
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,5.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, 560 ,NaT::560.0, -   , 239 , -   , 393 , 439 , 554 , -   , 0.54 ,2.8, 1.82 , 430 , 2.0 , 140.0 , 2.14 , -   , -   ,239 ,239 ,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,5 ,5 ,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 165 , 267 , 134 , 273 , 251 , 387 , -   , 3.22 ,2.5, 3.22 , -   , -   , -   , 3.22 , 134 , 25 ,407 ,298 ,
107,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120, -   ,-," 3,600 "," 1,165 "," 2,801 "," 1,321 "," 1,324 "," 1,790 ", 37 , 1.70 ,2.8, 1.70 ," 3,078 ", 26.0 ," 3,120.0 ", 2.82 ," 2,801 "," 1,115 ","3,650 ","1,964 ",
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 3,000 ", 870 , -   , 320 , 640 ," 1,919 ", 118 , 6.05 ,4.8, 6.05 , -   , -   , -   , 6.05 , -   , -   ,"3,870 ","3,870 ",
109,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 4,200 ",NaT::4200.0," 5,640 ", 575 ," 5,520 "," 2,174 "," 2,139 "," 2,423 ", -   , 1.13 ,2.9, 1.89 ," 5,593 ", 50.0 ," 6,000.0 ", 2.97 ," 5,520 "," 2,781 ","3,434 ",695 ,
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10, 700 ,2023-05-16::700.0," 2,650 ", 676 ," 1,472 ", 675 , 701 ," 1,049 ", 1 , 2.26 ,4.8, 2.74 ," 3,040 ", 320.0 ," 3,200.0 ", 4.91 ," 1,472 ", 607 ,"2,719 ","1,854 ",
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 3,080 ",2023-04-22::1430.0|||2023-05-14::1650.0, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , -   , 1 ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,156 ,156 ,
115,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
116,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 53 , 96 , 57 , 48 , 16 , -   , 11.80 ,4.7, 11.80 , -   , -   , -   , 11.80 , 96 , 49 ,"1,084 ","1,037 ",
117,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-17::960.0|||2023-05-14::1080.0, 360 , 64 , 240 , 79 , 86 , 170 , 1 , 1.77 ,4.7, 10.27 , -   , -   , -   , 10.27 , 240 , 366 ,58 ,184 ,
118,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , 2 , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, 0.1 , 12.0 ,#DIV/0!, 2 , -   ,0 ,(2),
119,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 1,560 ", 390 ," 1,982 ", 969 ," 1,071 "," 1,657 ", 9 , 0.98 ,4.8, 7.40 , -   , -   , -   , 0.98 ," 1,982 ", 840 ,"1,110 ",(32),Replacement
120,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-17::3000.0|||2023-04-22::1800.0|||2023-04-24::720.0|||2023-04-24::1200.0|||2023-05-14::1440.0|||NaT::4560.0, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
121,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,110 ", 71 , 167 , 134 , 142 , 201 , 3 , 7.07 ,4.8, 7.07 , -   , -   , -   , 7.07 , 167 , 90 ,"1,091 ","1,014 ",
122,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,29 ,29 ,
123,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 525 , -   ,,#N/A, -   , -   ,4.3, -   ," 2,258 ", 45.2 ," 2,260.0 ", 4.30 , 525 , 136 ,(136),(525),Replacement
124,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-15::2000.0, 850 , 111 , -   , 439 , 327 , 401 , 25 , 1.83 ,4.3, 5.64 , -   , -   , -   , 9.06 , -   , -   ,961 ,961 ,
125,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 2 , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, 0.2 , 10.0 ,#DIV/0!, 2 , -   ,0 ,(2),Replacement
126,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 8,000 ", 97 ," 1,070 ", 814 , 842 ," 1,279 ", 19 , 7.57 ,4.3, 7.57 , -   , -   , -   , 7.57 ," 1,070 ", 355 ,"7,742 ","7,027 ",
127,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 79 , -   ,,#N/A, -   , -   ,4.8, -   , 379 , 3.4 , 374.0 , 4.73 , 79 , 112 ,(112),(79),
128,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000," 2,000 ",2023-04-04::2000.0," 3,000 ", 772 , -   , 657 , 531 ," 1,227 ", -   , 7.10 ,4.8, 10.87 , -   , -   , -   , 10.87 , -   , -   ,"3,772 ","3,772 ",
129,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 18,360 ",NaT::1680.0|||NaT::3600.0|||NaT::3240.0|||2023-04-02::4920.0|||2023-05-14::4920.0, -   , 230 ," 7,844 "," 4,832 "," 5,693 "," 9,090 ", 47 , 0.03 ,2.8, 2.37 ," 3,373 ", 30.0 ," 3,600.0 ", 2.83 ," 7,844 "," 3,452 ","(3,222)","(7,614)","Air freight (4920kgs) ETA: 02.04.2023.
Out of stock"
130,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,3.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
131,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 8,280 ", 443 , 138 , 207 , 225 , 248 , 1 , 63.21 ,4.3, 63.21 , -   , -   , -   , 63.21 , 138 , 13 ,"8,710 ","8,585 ",
132,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,3.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
133,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 20,000 ",2023-04-27::10000.0|||2022-05-10::10000.0," 3,000 ", 457 ," 3,343 "," 5,553 "," 6,408 "," 9,093 ", 15 , 1.03 ,4.3, 7.02 , -   , -   , -   , 7.02 ," 3,343 "," 1,605 ","1,852 ",114 ,
134,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000, -   ,-," 7,000 ", 608 ," 3,342 ", 621 , 119 , 358 , 18 , 2.28 ,4.5, 2.28 ," 7,431 ", 8.0 ," 8,000.0 ", 4.67 ," 3,342 "," 1,933 ","5,675 ","4,266 ",
135,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-17::4560.0, 840 ," 1,013 "," 2,424 "," 2,033 "," 2,032 "," 2,292 ", -   , 0.76 ,4.3, 2.65 ," 4,010 ", 40.0 ," 4,800.0 ", 4.63 ," 2,424 "," 1,031 ",822 ,(571),
136,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!,, -   ,#DIV/0!, -   , -   ,0 ,0 ,
137,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
138,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 10 , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, 0.3 , 48.0 ,#DIV/0!, 10 , -   ,0 ,(10),
139,105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 13,350 ",2023-04-17::3900.0|||2023-04-24::3750.0|||NaT::4500.0|||NaT::600.0|||NaT::600.0, 450 , 432 ," 3,831 "," 1,590 "," 1,743 "," 2,351 ", 133 , 0.23 ,4.8, 3.71 ," 4,157 ", 35.0 ," 5,250.0 ", 5.09 ," 3,831 "," 2,346 ","(1,464)","(2,949)",
140,104747,ISOLAC� OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-15::120.0, 50 , 60 , 17 , 21 , 23 , 34 , 0 , 6.47 ,4.8, 13.53 , -   , -   , -   , 13.53 , 17 , 8 ,102 ,93 ,
141,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,5 ,5 ,
142,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 4,830 ",2023-05-12::575.0|||2023-05-16::4255.0," 10,810 ", 333 ," 5,297 "," 4,107 "," 4,345 "," 6,516 ", 72 , 2.10 ,4.8, 3.02 ," 9,453 ", 85.0 ," 9,775.0 ", 4.86 ," 5,297 "," 2,064 ","9,079 ","5,846 ",
143,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115, -   ,-," 6,670 ", 680 ," 1,406 "," 1,232 "," 1,187 "," 2,500 ", 14 , 5.23 ,4.8, 5.23 , -   , -   , -   , 5.23 ," 1,406 ", 605 ,"6,745 ","5,944 ",Consumption high -Need to check.
144,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
145,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
146,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-, 960 , 104 , 119 , 100 , 87 , 160 , -   , 8.94 ,4.8, 8.94 , -   , -   , -   , 8.94 , 119 , 17 ,"1,047 ",945 ,
147,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 62 , 111 , 78 , 71 , 87 , 1 , 6.31 ,4.8, 6.31 , -   , -   , -   , 6.31 , 111 , 30 ,670 ,589 ,
148,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
149,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 112 , 153 , 60 , 68 , 120 , -   , 9.36 ,4.8, 9.36 , -   , -   , -   , 9.36 , 153 , 13 ,"1,419 ","1,279 ",
150,105042,SAMIANIL CB ROSSO RP,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 1 , 2 , 1 , 1 , 2 , 0 , 41.00 ,4.8, 41.00 , -   , -   , -   , 41.00 , 2 , -   ,41 ,39 ,
151,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 37 , 17 , 6 , 8 , 15 , 0 , 14.53 ,4.8, 14.53 , -   , -   , -   , 14.53 , 17 , 37 ,210 ,230 ,
152,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,4 ,4 ,
153,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
154,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 40 , 30 , 4 ,,#N/A, -   , 48.00 ,4.1, 48.00 , -   , -   , -   , 48.00 , 30 , -   ,"1,440 ","1,410 ",
155,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, 120 , -   , 10 , 11 , 2 , 6 , -   , 60.00 ,4.3, 60.00 , -   , -   , -   , 60.00 , 10 , 2 ,118 ,110 ,
156,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-, 570 ," 1,072 "," 2,674 "," 3,670 "," 4,498 "," 5,856 ", 284 , 0.61 ,2.5, 0.61 ," 5,043 ", 30.0 ," 5,700.0 ", 2.75 ," 2,674 ", 980 ,662 ,"(1,032)",
157,105161,PM1–CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
158,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
159,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, 275 , -   , -   , 142 , 50 , 150 , -   , 5.50 ,2.5, 5.50 , -   , -   , -   , 5.50 , -   , -   ,275 ,275 ,
160,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 120 , 4 , 13 , 14 , 19 , -   , 21.36 ,2.5, 21.36 , -   , -   , -   , 21.36 , 4 , -   ,299 ,295 ,
161,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 90 , 191 , 111 , 92 , 32 , -   , 6.75 ,4.7, 6.75 , -   , -   , -   , 6.75 , 191 , 99 ,"1,191 ","1,099 ",
162,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
163,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 480 , 143 , 132 , 88 , 89 , 173 , 3 , 4.72 ,4.8, 8.36 , -   , -   , -   , 4.72 , 132 , 64 ,559 ,491 ,
164,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-17::240.0|||2023-04-17::240.0, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
165,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 79 , 22 , 21 , 26 , 43 , 2 , 11.77 ,4.8, 11.77 , -   , -   , -   , 11.77 , 22 , 7 ,252 ,237 ,
166,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,6 ,6 ,
