,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-10::720.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , 1 , 0 , 240.00 ,2, 240.00 , -   , -   ,,, -   , -   ,240 ,240 ,,, 0 ,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,19 ,19 ,,, -   ,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 17 , 1 , 11 , 11 , 7 , 34.27 ,4.8, 34.27 , -   , -   ,,, 1 , -   ,377 ,376 ,,, 0 ,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 132 , 18 , 27 , 23 , 27 , 74.00 ,4.8, 74.00 , -   , -   ,,, 18 , 10 ,"1,322 ","1,314 ",,, 1 ,
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 106 , -   , 1 , 1 , -   ," 1,786.00 ",4.3," 1,786.00 ", -   , -   ,,, -   , -   ,"1,786 ","1,786 ",,, -   ,
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),,, -   ,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,300 ", 351 , 446 , 229 , 210 , 269 , 8.19 ,4.8, 8.19 , -   , -   ,,, 446 , 199 ,"3,452 ","3,205 ",,, 10 ,
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 5 , 0.1 ,,, 1 , -   ,0 ,(1),,, -   ,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 89 , 79 , 50 , 50 , 44 , 34.54 ,4.8, 34.54 , -   , -   ,,, 79 , 33 ,"2,696 ","2,650 ",,, 2 ,
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-10::480.0," 1,280 ", 345 , 587 , 282 , 271 , 402 , 2.77 ,4.8, 3.59 , 704 , 4.4 ,,, 587 , 188 ,"1,437 ","1,038 ",,, 15 ,
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 5 , 3 , 1 , 2 , 11 , 2.50 ,4.8, 2.50 , 9 , 0.4 ,,, 3 , 3 ,2 ,2 ,,, 0 ,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 75 , 11 , -   , 3 , 2 , 2 , 43.00 ,4.8, 43.00 , -   , -   ,,, -   , 1 ,85 ,86 ,,, 0 ,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80.0, 70 , 40 , 7 , 9 , 8 , 15 , 13.75 ,4.8, 23.75 , -   , -   ,,, 7 , 6 ,104 ,103 ,,, 1 ,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,,, -   ,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 97 , 24 , 22 , 23 , 23 , 17.79 ,4.8, 17.79 , -   , -   ,,, 24 , 17 ,410 ,403 ,,, 1 ,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,9 ,9 ,,, -   ,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, 188 , -   , -   , 63 , 125 , -   , 1.50 ,2.5, 1.50 , -   , -   ,,, -   , -   ,188 ,188 ,,, -   ,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , -   ,, 4 ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,46 ,46 ,,, 0 ,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 1,140 ", 168 , 816 , 597 , 655 ," 1,193 ", 1.60 ,2.5, 1.60 , 734 , 3.9 ,,, 816 , 510 ,798 ,492 ,,, 46 ,
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 95 , 2 , 8 , 1 , -   ,107.5,2.5,107.5, -   , -   ,,, 2 , -   ,215 ,213 ,,, -   ,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-," 1,210 ", 423 , 515 , 569 , 481 ," 1,240 ", 3.17 ,4.7, 3.17 , 773 , 7.0 ,,, 515 , 126 ,"1,507 ","1,118 ",,, 48 ,
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.9,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 26 , 234 , 110 , 106 , 211 , 0.62 ,4.7, 0.62 , 959 , 8.0 ,,, 234 , 43 ,103 ,(88),,, 8 ,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-17::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,,, -   ,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10, 750 ,2023-05-12::10.0|||2023-05-16::740.0," 1,100 ", 282 , 390 , 307 , 321 , 512 , 3.54 ,4.8, 5.47 , -   , -   ,,, 390 , 244 ,"1,138 ",992 ,,, 20 ,
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , -   ," 2,837 "," 1,913 "," 1,268 ", -   , -   ,4.3, -   ," 12,199 ", 101.7 ,,," 2,837 "," 1,562 ","(1,562)","(2,837)",,, -   ,
56,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-22::3840.0|||2023-05-08::3000.0, -   , -   , -   , 728 ," 1,456 "," 4,478 ", -   ,4.3, 6.76 , -   , -   ,,, -   , -   ,0 ,0 ,,, 172 ,
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 6,600 ",2023-03-31::1870.0|||NaT::660.0|||2023-03-26::1540.0|||2023-05-11::2530.0, -   , 176 ," 1,968 "," 1,538 "," 2,120 "," 2,806 ", 0.09 ,2.8, 3.44 , -   , -   ,,," 1,968 "," 1,594 ","(1,418)","(1,792)",,, 108 ,
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 440 ,2023-03-26::440.0, 55 , 25 , 297 , 169 , 184 , 373 , 0.27 ,2.8, 1.75 , 297 , 5.4 ,,, 297 , 142 ,(62),(217),,, 14 ,
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 157 , 29 , 13 , 16 , 34 , 55.07 ,4.8, 55.07 , -   , -   ,,, 29 , 16 ,"1,581 ","1,568 ",,, 1 ,
