,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-17::360.0|||2023-05-08::1080.0, 240 , 171 , 408 , 205 , 217 , 353 , 1.01 ,4.8, 4.54 , 122 , 1.0 ,,, 408 , 57 ,354 ,3 ,,, 14 ,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 10 , 10 , 9 , 5 , 1 , 2.00 ,4.8, 2.00 , 38 , 3.8 ,,, 10 , 3 ,7 ,0 ,,, 0 ,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 4 , -   , -   ,, 6 ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,34 ,34 ,,, 0 ,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,,, -   ,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,800 ",2023-03-26::1800.0, -   , 245 , 985 , 555 , 649 ," 1,192 ", 0.25 ,2.8, 2.08 , 689 , 6.9 ,,, 985 , 473 ,(228),(740),,, 46 ,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 3,239 ", -   ,, -   , -   ,4.8, -   ," 15,547 ", 141.3 ,,," 3,239 "," 2,054 ","(2,054)","(3,239)",,, -   ,
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 11,550 ",2023-03-28::4400.0|||NaT::6710.0|||NaT::440.0, -   , 16 , 4 ," 2,274 "," 2,566 "," 3,972 ", 0.01 ,4.8, 4.51 , -   , -   ,,, 4 , -   ,16 ,12 ,,, 153 ,
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 56 , 17 , 36 , 27 , 42 , 58.88 ,4.5, 58.88 , -   , -   ,,, 17 , -   ,"1,001 ",984 ,,, 2 ,
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,5.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, -   ,-, -   , 309 , -   , 362 , 366 , 450 , 0.84 ,2.8, 0.84 , -   , -   ,,, -   , -   ,309 ,309 ,,, 17 ,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,, -   ,5,2.5,5, -   , -   ,,, -   , -   ,5 ,5 ,,, -   ,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 165 , 283 , 144 , 240 , 199 , 351 , 3.11 ,2.5, 3.11 , -   , -   ,,, 144 , 25 ,423 ,304 ,,, 14 ,
107,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120," 2,400 ",2023-03-29::2400.0," 1,800 ", 800 ," 2,373 "," 1,297 "," 1,183 "," 1,550 ", 1.10 ,2.8, 2.11 ," 1,661 ", 13.8 ,,," 2,373 ", 848 ,"1,752 ",227 ,,, 60 ,
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 4,000 ", 550 , -   , -   ,," 1,387 ",#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,"4,550 ","4,550 ",,, 53 ,
109,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 9,600 ",2023-03-26::5400.0|||NaT::4200.0, 240 , 588 ," 4,653 "," 2,183 "," 2,161 "," 2,384 ", 0.18 ,2.9, 2.24 ," 3,257 ", 27.1 ,,," 4,653 "," 2,159 ","(1,331)","(3,825)",,, 92 ,
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10," 2,200 ",2023-03-28::1500.0|||2023-05-16::700.0," 1,230 ", 679 ," 1,295 ", 611 , 611 , 931 , 1.47 ,4.8, 3.17 ," 2,072 ", 207.2 ,,," 1,295 ", 495 ,"1,414 ",614 ,,, 36 ,
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 3,080 ",2023-04-22::1430.0|||2023-05-08::1650.0, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , -   , 1 , 2 , -   , 78.00 ,4.7, 78.00 , -   , -   ,,, -   , -   ,156 ,156 ,,, -   ,
115,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
116,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 54 , 96 , 57 , 73 , 15 , 11.81 ,4.7, 11.81 , -   , -   ,,, 96 , 49 ,"1,085 ","1,038 ",,, 1 ,
117,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-10::960.0|||2023-05-08::1080.0, 360 , 120 , 147 , 61 , 44 , 110 , 3.27 ,4.7, 17.14 , -   , -   ,,, 147 , 56 ,424 ,333 ,,, 4 ,
118,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),,, -   ,
119,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 1,800 ", 330 ," 1,898 ", 838 ," 1,021 "," 1,281 ", 1.12 ,4.8, 1.12 ," 7,023 ", 58.5 ,,," 1,898 ", 823 ,"1,307 ",232 ,,, 49 ,
120,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-10::3000.0|||2023-04-22::1800.0|||2023-04-24::720.0|||2023-04-24::1200.0|||2023-05-08::1440.0|||NaT::4560.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
121,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,110 ", 88 , 147 , 118 , 121 , 182 , 8.15 ,4.8, 8.15 , -   , -   ,,, 147 , 65 ,"1,133 ","1,051 ",,, 7 ,
122,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,29 ,29 ,,, -   ,
123,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 540 , -   ,, -   , -   ,4.3, -   ," 2,322 ", 46.4 ,,, 540 , 188 ,(188),(540),,, -   ,
124,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-15::2000.0, 850 , 192 , -   , 437 , 435 , 338 , 2.40 ,4.3, 6.99 , -   , -   ,,, -   , -   ,"1,042 ","1,042 ",,, 13 ,
125,104915,SAMIACEL OPACO 813,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, 9 , 0.2 ,,, 2 , -   ,0 ,(2),,, -   ,
126,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 8,150 ", 68 ," 1,113 ", 703 , 607 ," 1,131 ", 7.38 ,4.3, 7.38 , -   , -   ,,," 1,113 ", 356 ,"7,862 ","7,105 ",,, 43 ,
127,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 73 , -   ,, -   , -   ,4.8, -   , 350 , 3.2 ,,, 73 , 111 ,(111),(73),,, -   ,
128,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000," 2,000 ",-," 3,000 ", 772 , -   ," 1,004 ", 219 ," 1,227 ", 17.22 ,4.8, 26.36 , -   , -   ,,, -   , -   ,"3,772 ","3,772 ",,, 47 ,"The nunber of old batch from the warehouse is not usable
2000 kg air freight from Europe"
129,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 13,440 ",NaT::1680.0|||NaT::3240.0|||NaT::3600.0|||NaT::4920.0 ||| , -   , 581 ," 6,596 "," 3,532 "," 4,596 "," 8,059 ", 0.09 ,2.8, 2.13 ," 4,617 ", 38.5 ,,," 6,596 "," 3,312 ","(2,731)","(6,015)",,, 310 ,"600 Air Freight from Europe, ETD: 31/03/2023"
130,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
131,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 8,280 ", 454 , 150 , 231 , 173 , 238 , 58.23 ,4.3, 58.23 , -   , -   ,,, 150 , -   ,"8,734 ","8,584 ",,, 9 ,
132,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
133,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 20,000 ",2023-04-27::10000.0|||NaT::10000.0," 3,000 "," 1,132 "," 2,522 "," 4,508 "," 5,903 "," 8,316 ", 1.64 ,4.3, 9.57 , -   , -   ,,," 2,522 "," 1,121 ","3,011 ","1,610 ",,, 320 ,
134,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000, -   ,-," 7,000 ", 845 ," 3,374 ", 986 ,, 53 , 2.33 ,4.5, 2.33 ," 7,423 ", 7.4 ,,," 3,374 "," 1,925 ","5,920 ","4,471 ",,, 2 ,
135,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-10::4560.0, 840 ," 1,059 "," 1,601 "," 1,939 "," 1,652 "," 2,062 ", 1.19 ,4.3, 4.03 , 480 , 4.0 ,,," 1,601 ", 744 ,"1,155 ",298 ,,, 79 ,
136,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   ,,,, -   , -   ,0 ,0 ,,, -   ,
137,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
138,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 9 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 43 , 0.3 ,,, 9 , -   ,0 ,(9),,, -   ,
139,105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 13,350 ",2023-04-10::3900.0|||2023-04-24::3750.0|||NaT::4500.0|||2023-03-29::1200.0," 1,200 ", 19 ," 3,242 "," 1,454 "," 1,569 "," 2,192 ", 0.38 ,4.8, 4.49 ," 2,269 ", 15.1 ,,," 3,242 "," 1,715 ","(1,696)","(3,223)",,, 84 ,
140,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-15::120.0, 50 , 63 , 18 , 17 , 20 , 33 , 6.28 ,4.8, 12.94 , -   , -   ,,, 18 , 7 ,106 ,95 ,,, 1 ,
141,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,,, -   ,
142,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 10,580 ",2023-03-28::5750.0|||2023-05-12::575.0|||2023-05-16::4255.0," 5,635 ", 179 ," 4,444 "," 3,740 "," 3,734 "," 5,678 ", 1.31 ,4.8, 3.69 ," 4,888 ", 42.5 ,,," 4,444 "," 2,074 ","3,740 ","1,370 ",,, 218 ,
143,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115," 2,990 ",2023-03-28::2990.0," 3,680 ", 762 ," 1,363 "," 1,105 "," 1,004 "," 2,030 ", 3.26 ,4.8, 5.45 , -   , -   ,,," 1,363 ", 676 ,"3,766 ","3,079 ",,, 78 ,
144,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
145,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
146,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-, 960 , 107 , 114 , 100 , 78 , 155 , 9.36 ,4.8, 9.36 , -   , -   ,,, 114 , 17 ,"1,050 ",953 ,,, 6 ,
147,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 69 , 122 , 75 , 66 , 82 , 5.80 ,4.8, 5.80 , -   , -   ,,, 122 , 30 ,677 ,585 ,,, 3 ,
148,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
149,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 120 , 145 , 45 , 35 , 108 , 9.93 ,4.8, 9.93 , -   , -   ,,, 145 , 13 ,"1,427 ","1,295 ",,, 4 ,
150,105042,SAMIANIL CB ROSSO RP,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 2 , 1 , 1 , -   , 2 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, 1 , -   ,42 ,41 ,,, 0 ,
151,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 39 , 5 , 5 , 5 , 14 , 49.80 ,4.8, 49.80 , -   , -   ,,, 5 , 3 ,246 ,244 ,,, 1 ,
152,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,4 ,4 ,,, -   ,
153,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
154,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 40 , 29 , 10 ,, -   , 49.66 ,4.1, 49.66 , -   , -   ,,, 29 , -   ,"1,440 ","1,411 ",,, -   ,
155,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, 120 , -   , 7 , 12 , 16 , 6 , 7.50 ,4.3, 7.50 , -   , -   ,,, 7 , 2 ,118 ,113 ,,, 0 ,
156,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-, 950 ," 1,230 "," 2,018 "," 3,095 "," 3,394 "," 4,980 ", 1.08 ,2.5, 1.08 ," 2,825 ", 14.9 ,,," 2,018 ", 968 ,"1,212 ",162 ,,, 192 ,
157,105161,PM1–CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
158,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,, -   ,0,2.5,0, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
159,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, 300 , -   , -   , 117 , 133 , 125 ,300,2.5,300, -   , -   ,,, -   , -   ,300 ,300 ,,, 5 ,
160,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 120 , 4 , 10 , 8 , 19 , 37.38 ,2.5, 37.38 , -   , -   ,,, 4 , -   ,299 ,295 ,,, 1 ,
161,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 91 , 193 , 113 , 141 , 31 , 6.69 ,4.7, 6.69 , -   , -   ,,, 193 , 99 ,"1,192 ","1,098 ",,, 1 ,
162,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
163,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 480 , 165 , 120 , 74 , 67 , 146 , 5.38 ,4.8, 9.38 , -   , -   ,,, 120 , 62 ,583 ,525 ,,, 6 ,
164,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-10::240.0|||2023-04-17::240.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
165,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 83 , 18 , 16 , 17 , 36 , 14.61 ,4.8, 14.61 , -   , -   ,,, 18 , 7 ,256 ,245 ,,, 1 ,
166,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,,, -   ,
167,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
168,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
169,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
170,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
171,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180," 1,440 ",2023-03-26::1440.0, 180 , 649 ," 1,319 ", 991 ," 1,047 "," 1,570 ", 0.63 ,2.8, 1.72 ," 1,451 ", 8.1 ,,," 1,319 ", 628 ,201 ,(490),,, 60 ,
172,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
173,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 168 , 93 , 43 , 38 , 67 , 12.13 ,4.8, 12.13 , -   , -   ,,, 93 , 4 ,"1,124 ","1,035 ",,, 3 ,
174,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
175,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
176,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 176 , 96 , 36 , 29 , 25 , 23.08 ,4.8, 23.08 , -   , -   ,,, 96 , 12 ,"2,204 ","2,120 ",,, 1 ,
177,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 126 , 67 , 39 , 45 , 46 , 52.03 ,4.8, 52.03 , -   , -   ,,, 67 , 42 ,"3,444 ","3,419 ",,, 2 ,
178,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 108 , 41 , 24 , 14 , 20 , 37.76 ,4.8, 37.76 , -   , -   ,,, 41 , 1 ,"1,547 ","1,507 ",,, 1 ,
179,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 500 , 68 , 60 , 50 , 52 , 70 , 9.47 ,4.8, 9.47 , -   , -   ,,, 60 , 31 ,537 ,508 ,,, 3 ,
180,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,9 ,9 ,,, -   ,
181,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
182,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 220 , 165 , 24 , 66 , 72 , 54 , 16.04 ,2.8, 16.04 , -   , -   ,,, 24 , 2 ,383 ,361 ,,, 2 ,
183,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, -   ,-, -   , 98 , 73 , 53 , 50 , 125 , 1.34 ,4.3, 1.34 , 219 , 21.9 ,,, 73 , 19 ,79 ,25 ,,, 5 ,
184,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 460 ,2023-04-15::180.0|||2023-04-22::110.0|||NaT::170.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
185,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
186,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
187,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 172 , 97 , 41 , 38 , 70 , 14.14 ,4.8, 14.14 , -   , -   ,,, 97 , 27 ,"1,345 ","1,275 ",,, 3 ,
188,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , 3 , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, 8 , 0.8 ,,, 3 , -   ,0 ,(3),,, -   ,
189,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
