,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-10::840.0, 360 , 370 , -   , 207 , 233 , 256 ,730,4.7,1570, -   , -   ,,, -   , -   ,730 ,730 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,680 ", 420 , 3 , 334 , 319 , 412 ,1700,4.7,1700, -   , -   ,,, 3 , -   ,"5,100 ","5,097 ",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 85 , -   , 58 , 46 , 67 ,85,2.8,85, -   , -   ,,, -   , -   ,85 ,85 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 29 , -   , 28 , 42 , 21 ,449,4.8,449, -   , -   ,,, -   , -   ,449 ,449 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 96 , 82 , 28 , 37 , 46 ,12.9,4.8,12.9, -   , -   ,,, 82 , 37 ,"1,019 ",974 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 8 , -   , 22 , 13 , 12 ,128,4.8,128, -   , -   ,,, -   , -   ,128 ,128 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 168 , 50 , 21 , 18 , 28 ,27.4,4.8,27.4, -   , -   ,,, 50 , 8 ,"1,360 ","1,318 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,0,4.3,0, -   , -   ,,, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,, 0 ,96,2,96, -   , -   ,,, -   , -   ,96 ,96 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 10 , 1 , 1 , 1 , 2 ,180,4.8,180, -   , -   ,,, 1 , -   ,180 ,179 ,
