,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70,120, 840 ,2023-03-21 00:00:00::840.0, 720 , 314 , -   , 202 , 214 ,9.7,4.3,17.5, -   , -   ,,, 107 , -   ,"1,034",927,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70,120, -   ,-," 5,160 ", 438 , 3 , 318 , 305 ,36.4,4.3,36.4, -   , -   ,,, 154 , -   ,"5,598","5,444",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 152 , -   , 75 , 35 ,8.4,2.8,8.4, -   , -   ,,, 18 , -   ,152,134,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 50 , -   , 23 , 38 ,24.7,4.8,24.7, -   , -   ,,, 19 , -   ,470,451,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 156 , 66 , 24 , 34 ,22.3,4.8,22.3, -   , -   ,,, 50 , 57 ,"1,059","1,066",
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 20 , 10 , 26 , 31 ,7,4.8,7, -   , -   ,,, 20 , -   ,140,120,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 76 , 56 , 22 , 22 ,35.8,4.8,35.8, -   , -   ,,, 39 , 42 ,"1,354","1,357",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,,,2,0, -   , -   ,,,, 1 ,95,,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 12 , 1 , 1 , 1 ,182,4.8,182, -   , -   ,,, 1 , -   ,182,181,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 25 ,nan::25.0, -   , 4 , 8 , 20 , 22 ,0.3,2.8,1.9, 13 , 0.5 ,,, 15 , 4 ,0,-11,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 414 , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 11,840 ",2023-03-05 00:00:00::1280.0|||2023-03-21 00:00:00::800.0|||2023-03-31 00:00:00::6560.0|||2023-03-21 00:00:00::1600.0|||nan::1600.0," 3,840 "," 1,128 "," 4,815 "," 2,620 "," 2,659 ",1.3,4.8,4.5," 1,121 ", 7.0 ,,," 3,737 "," 2,448 ","2,520","1,231",
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 39 , 22 , 12 , 13 ,14.4,4.8,14.4, -   , -   ,,, 18 , 3 ,256,241,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,7,,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 720 , 18 , 14 , 8 , 5 ,73.8,4.3,73.8, -   , -   ,,, 10 , 18 ,720,728,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 5 , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 960 , 90 , 276 , 117 , 144 ,5,4.8,5, -   , -   ,,, 210 , 93 ,957,840,
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-03-21 00:00:00::720.0, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , -   ,240,0,240, -   , -   ,,, -   , -   ,240,240,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,31,,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 26 , 12 , 16 , 18 ,25.7,4.8,25.7, -   , -   ,,, 15 , -   ,386,371,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 159 , 15 , 25 , 19 ,79.9,4.8,79.9, -   , -   ,,, 17 , 11 ,"1,348","1,342",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,,,2,0, -   , -   ,,,, -   ,0,,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , 5 , 1 , 1 ,597,4.3,597, -   , -   ,,, 3 , -   ,"1,791","1,788",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 36 , -   ,,,4.8,0, -   , -   ,,,, 45 ,-45,,
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,600 ", 414 , 431 , 212 , 190 ,12.9,4.8,12.9, -   , -   ,,, 310 , 241 ,"3,773","3,704",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 148 , 62 , 53 , 58 ,46.5,4.8,46.5, -   , -   ,,, 60 , 12 ,"2,776","2,728",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 3 , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-03-21 00:00:00::480.0," 1,600 ", 527 , 607 , 295 , 257 ,4.9,4.8,6, -   , -   ,,, 432 , 231 ,"1,896","1,695",
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, 10 , 10 , 3 , 1 , 2 ,10,4.3,10, -   , -   ,,, 2 , 7 ,13,18,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83,25, -   ,-, 75 , 15 , -   , 2 , 1 ,90,0,90, -   , -   ,,, -   , 1 ,89,90,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-03-31 00:00:00::80.0, 90 , 41 , 6 , 8 , 7 ,21.8,4.8,35.2, -   , -   ,,, 6 , 5 ,126,125,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,6,,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 400 , 52 , 24 , 21 , 16 ,22.6,4.8,22.6, -   , -   ,,, 20 , 18 ,434,432,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,9,,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,,,2.5,0, -   , -   ,,,, -   ,0,,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , 188 , -   , 31 , 63 ,5.9,2.5,5.9, -   , -   ,,, 32 , -   ,188,156,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,,,4.2,0, -   , -   ,,,, -   ,0,,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70,50, -   ,-, 50 , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,50,,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70,50, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 2,660 ", 82 , 691 , 547 , 576 ,4.3,2.5,4.3, -   , -   ,,, 634 , 486 ,"2,256","2,108",
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 10 , 2 ,109.5,2.5,109.5, -   , -   ,,, 2 , -   ,219,217,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
