,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
0,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-09::840.0, 600 , 251 , -   , 207 , 233 , 135 ,851,0,1691, -   , -   ,,, -   , -   ,851 ,851 ,
1,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 5,040 ", 229 , 3 , 334 , 319 , 244 ,1756.3,4.7,1756.3, -   , -   ,,, 3 , -   ,"5,269 ","5,266 ",
2,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 124 , -   , 58 , 46 , 29 ,124,0,124, -   , -   ,,, -   , -   ,124 ,124 ,
3,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 29 , -   , 28 , 42 , 21 ,449,0,449, -   , -   ,,, -   , -   ,449 ,449 ,
4,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 110 , 82 , 28 , 37 , 32 ,13,4.8,13, -   , -   ,,, 82 , 21 ,"1,049 ",988 ,
5,104804,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70,120, -   ,-, 120 , 10 , -   , 22 , 13 , 10 ,130,0,130, -   , -   ,,, -   , -   ,130 ,130 ,
6,105535,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 171 , 50 , 21 , 18 , 25 ,27.4,4.8,27.4, -   , -   ,,, 50 , 7 ,"1,364 ","1,321 ",
7,105186,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,0,0,0, -   , -   ,,, -   , -   ,0 ,0 ,
8,104523,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 96 , -   , -   ,, -   ,96,0,96, -   , -   ,,, -   , -   ,96 ,96 ,
9,104744,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70,10, -   ,-, 170 , 10 , 1 , 1 , 1 , 1 ,180,4.8,180, -   , -   ,,, 1 , -   ,180 ,179 ,
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,0,0,0, -   , -   ,,, -   , -   ,0 ,0 ,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 25 ,NaT::25.0, 25 , 7 , 8 , 20 , 23 , 11 ,4,2.8,7.1, -   , -   ,,, 8 , 4 ,28 ,24 ,
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 17 , -   ,, -   ,0,4.8,0, 82 , 0.5 ,,, 17 , 20 ,(20),(17),
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 14,560 ",2023-04-09::800.0|||2023-04-15::6560.0|||2023-04-09::1600.0|||2023-04-24::1600.0|||NaT::4000.0," 2,880 "," 1,125 "," 5,494 "," 2,726 "," 2,672 "," 1,822 ",0.7,4.8,3.4," 7,692 ", 48.1 ,,," 5,494 "," 2,697 ","1,308 ","(1,489)",
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,0,0,0, -   , -   ,,, -   , -   ,0 ,0 ,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 29 , 26 , 13 , 15 , 7 ,9.6,4.8,9.6, -   , -   ,,, 26 , 2 ,247 ,223 ,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   ,7,0,7, -   , -   ,,, -   , -   ,7 ,7 ,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,0,0,0, -   , -   ,,, -   , -   ,0 ,0 ,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,0,0,0, -   , -   ,,, -   , -   ,0 ,0 ,
