,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,70.0,120.0,840.0,2023-04-02::840.0,720.0,266.0,0.0,172.0,161.0,4.1,12.3,4.3,22.8,0.0,0.0,,,80.0,0.0,986.0,906.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",70.0,120.0,0.0,-,5040.0,473.0,3.0,277.0,204.0,34.5,53.0,4.3,53.0,0.0,0.0,,,104.0,0.0,5513.0,5409.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,152.0,0.0,49.0,29.0,0.546,10.9,2.8,10.9,0.0,0.0,,,14.0,0.0,152.0,138.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,50.0,0.0,20.0,27.0,0.0,33.6,4.8,33.6,0.0,0.0,,,14.0,0.0,470.0,456.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,142.0,66.0,22.0,25.0,4.266,24.0,4.8,24.0,0.0,0.0,,,46.0,18.0,1084.0,1056.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,20.0,10.0,21.0,10.0,0.0,14.0,4.8,14.0,0.0,0.0,,,10.0,0.0,140.0,130.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1320.0,76.0,56.0,20.0,16.0,2.532,38.8,4.8,38.8,0.0,0.0,,,36.0,46.0,1350.0,1360.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,,,0.0,96.0,
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,12.0,1.0,1.0,1.0,0.009,182.0,4.8,182.0,0.0,0.0,,,1.0,1.0,181.0,181.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,,4.3,0.0,0.0,0.0,,,,0.0,0.0,
11,104528.0,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25.0,25.0,0.0,-,25.0,18.0,8.0,17.0,17.0,10.8,3.6,2.8,3.6,0.0,0.0,,,12.0,0.0,43.0,31.0
12,104797.0,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70.0,160.0,0.0,-,0.0,0.0,404.0,0.0,,0.0,,4.8,0.0,0.0,0.0,,,,42.0,-42.0,
