Material,Component_Description,Consumption,Mon_Year
105458,OXY CAR AMARANTH HP,51.301,Apr_22
105459,OXY CAR OCEAN BLUE HP,1.936,Apr_22
105460,OXY FINE BIANCO RD,3284.293,Apr_22
105461,OXY CAR BROWN VIOLET HP,466.03,Apr_22
105462,OPERA RUBINO,68.646,Apr_22
105463,OPERA VERDE,46.497,Apr_22
105464,OPERA NERO FR,1393.93,Apr_22
105465,OPERA OCRA DL,2420.679,Apr_22
105466,OPERA ROSSO DL,269.732,Apr_22
105467,OPERA BRUNO DL,263.001,Apr_22
105468,OPERA GIALLO,427.213,Apr_22
105469,OPERA LIMONE,299.697,Apr_22
105470,OPERA TURCHESE,115.108,Apr_22
105471,OPERA PORPORA,136.871,Apr_22
105472,OPERA ARANCIO,56.036,Apr_22
105473,OPERA BLU,210.11,Apr_22
105474,OXY CAR BORDEAUX HP,47.515,Apr_22
105475,OXY FINE VIOLETTO,22.971,Apr_22
105476,OPERA VINACCIA,167.364,Apr_22
105492,SELLA DERM YELLOW M2,4.961,Apr_22
105505,ASTACIN FINISH PUMN TF,2946.37,Apr_22
105513,ISOLAC BIANCO N LP,9.51,Apr_22
105515,SAMIACEL OPACO 813 ET,873.051,Apr_22
105516,RODA CARE HB-B,9.4,Apr_22
105533,SAMIACEL LACCA 793 ET,780.92,Apr_22
105534,SAMIACEL MACCHIA 3338 ET,267.796,Apr_22
105535,OPERA MANDARINO,98.135,Apr_22
105545,RODA WAX 4092,11.97,Apr_22
105548,SELLA DERM FUCHSIA M2,0.296,Apr_22
105549,SELLA DERM ORANGE M2,0.125,Apr_22
105550,RODA PUR K 312/F,303.383,Apr_22
105554,RODA LAC ON 3050-N3,5.56,Apr_22
105559,RODA BASE AF-B/N,90.697,Apr_22
105560,RODA FIX 5792/N2,5,Apr_22
105621,RODA WAX KCF 604/N,83.79,Apr_22
105655,PRIMAL LH 500,1727.766,Apr_22
105656,PRIMAL LH 550,1243.993,Apr_22
105659,EX-XR-55-250,8.4,Apr_22
100041,PRIMAL SB100,3743,Aug_20
100094,ACRYSOL RM-825,211.85,Aug_20
100322,ICALAC SB 200,2241.907,Aug_20
100413,MELIO FOAM AX-03,87.698,Aug_20
101261,EUDERM NAPPA SOFT S 2,1854.8,Aug_20
104201,FI-50,6,Aug_20
104221,PRIMAL SB-150,2308.1,Aug_20
104523,ORANGE DHL,0.274,Aug_20
104528,BI-372,25,Aug_20
104531,BLUE DHL,1.087,Aug_20
104541,CICLOESANONE *,1370.44,Aug_20
104555,FI-70-306,291.25,Aug_20
104557,CONTEX GIALLO PK,119.857,Aug_20
104564,HM-283,1.835,Aug_20
104572,ICALAC SB 215,1517.3,Aug_20
104580,LAMSOFT L12 CONC.,441,Aug_20
104597,MAXTOP RM,115.5,Aug_20
104624,RODA CRYL 137,203.91,Aug_20
104625,RODA FEEL S 930,233.03,Aug_20
104634,RUBY DHL,1.082,Aug_20
104642,TOLUENE,11.76,Aug_20
104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),92.59,Aug_20
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),63.265,Aug_20
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),33.68,Aug_20
104667,BINDER M-SM 118,3528.285,Aug_20
104672,MP1,3645.867,Aug_20
104673,SE W 11 CONC,43.36,Aug_20
104676,MELIO PROMUL AP-39 A,3017.393,Aug_20
104680,MEK-CLEANING SOLVENT,592.97,Aug_20
104689,CERANIL D 1188,1.7,Aug_20
104691,TOUCHMILL C/WS,130.72,Aug_20
104703,SMITFIX G 9058,12.9,Aug_20
104708,NOVA M 16/NF,863.035,Aug_20
104727,DILUENT NITRO GL,39602.1,Aug_20
104728,PRIMEX UD 32,347.018,Aug_20
104729,TRUMP FINISH 6311,195.6,Aug_20
104734,TOUCHMILL C/FAT,122.14,Aug_20
104743,ISOLAC BIANCO,64.462,Aug_20
104744,ISOLAC ORANGE,3.6,Aug_20
104745,ISOLAC GIALLO ORO,105.299,Aug_20
104746,ISOLAC LEMON LP,18.112,Aug_20
104747,ISOLAC OCRA,60.707,Aug_20
104748,ISOLAC BRUNO,8.945,Aug_20
104749,ISOLAC BRUNO ROSSO,77.762,Aug_20
104750,ISOLAC ROSSO,14.23,Aug_20
104752,ISOLAC VIOLETTO,220.927,Aug_20
104753,ISOLAC TURCHESE,69.385,Aug_20
104754,ISOLAC NERO,508.283,Aug_20
104756,BRITEX BLACK,84.802,Aug_20
104757,BRITEX BROWN,65.654,Aug_20
104767,CONTEX ZITRON,144.497,Aug_20
104768,CONTEX BRUNO R,215.205,Aug_20
104769,CONTEX AMARANTO,142.715,Aug_20
104770,CONTEX BLUE MARINE,185.568,Aug_20
104771,CONTEX VERDE,74.41,Aug_20
104773,TO-VI-97,1308.467,Aug_20
104780,EUDERM MATT SN2,76,Aug_20
104794,RODA LAC ON 3050-N,530.1,Aug_20
104795,PM-4800,37,Aug_20
104797,CONTEX BIANCO ULTRA DOS,6304.003,Aug_20
104798,CONTEX BRUNO V,403.372,Aug_20
104799,CONTEX NERO M,2576.179,Aug_20
104800,CONTEX OCRA,1942.5,Aug_20
104801,CONTEX ROSSO CO,134.43,Aug_20
104802,CONTEX BRUNO,1079.605,Aug_20
104803,CONTEX GIALLO ECP,874.935,Aug_20
104804,CONTEX ARANCIO ECP,86.374,Aug_20
104805,CONTEX FUCHSIA,20.638,Aug_20
104806,CONTEX LEMON C,456.158,Aug_20
104807,CONTEX BLU T,150.409,Aug_20
104808,CONTEX TURCHESE T,117.879,Aug_20
104809,CONTEX VIOLETTO R,397.32,Aug_20
104810,CONTEX ROSSO HTR-CO,76.9,Aug_20
104812,NOVA NT/L NF,250,Aug_20
104824,NOVOLAC 750,16368.811,Aug_20
104840,SMIT FIX 9451,240,Aug_20
104846,RODA FEEL N 4,1345.888,Aug_20
104847,RODA FEEL S 2081,76.036,Aug_20
104852,RU 74-987,591.489,Aug_20
104854,RODA PUR K 312,153.19,Aug_20
104858,ISO PROPYLIC ALCOHOL,90.7,Aug_20
104867,BASEMASK 5000,3283.6,Aug_20
104873,EX-WT-42-511,109.535,Aug_20
104877,CRX S 75 / NT,964.062,Aug_20
104882,SMITFIX RL 9492,0.62,Aug_20
104891,LS-64-256,1271.2,Aug_20
104902,SAMIACEL MACCHIA 3338,474.838,Aug_20
104914,SAMIACEL LACCA 793,1540,Aug_20
104915,SAMIACEL OPACO 813,2289.95,Aug_20
104921,NITROFIX 3743 LUX,50,Aug_20
104922,NITROFIX 3742 MATT,48,Aug_20
104923,TOP RT 10,68.748,Aug_20
104926,TOP 100 M,206.5,Aug_20
104928,RODA BASE 5615,2356.397,Aug_20
104929,RODA BASE RECO 8,10868.94,Aug_20
104931,BINDER M-PR 400,38465.6,Aug_20
104932,BINDER W 212,13475.2,Aug_20
104937,MELIO AQUABASE W-MN,567.1,Aug_20
104938,COMPACT HP3,8259.8,Aug_20
104939,AQUAFIX LUCIDO 555,4677.112,Aug_20
104946,RODA WAX KCF 684,12,Aug_20
104959,EX-LS-64-468,4.54,Aug_20
104960,RODA LINK 5504/N,1568.746,Aug_20
104961,RODA PUR 65,5894.895,Aug_20
104962,RODA LEVELLER B-LM,291.166,Aug_20
104963,RODA CARE NL,6059.18,Aug_20
104964,RODA FIX 6271,6043.237,Aug_20
104965,RODA LINK C/70,658.437,Aug_20
104973,TFIX M 9562,873.097,Aug_20
104978,DARKWAX 6G,102,Aug_20
104988,RM 2510,913.7,Aug_20
104989,RM 1080,391.45,Aug_20
105008,BINDER M-RI 99,3788.9,Aug_20
105020,BASEMASK 5755/T2,2940,Aug_20
105025,RODA BASE AF-B,24.4,Aug_20
105026,RODA FIX 6271/C,2346.747,Aug_20
105027,RODA TEC AW,2375.715,Aug_20
105042,SAMIANIL CB ROSSO RP,1.037,Aug_20
105043,SAMIANIL CB BRUNO RP,11.582,Aug_20
105045,SAMIANIL CB NERO RP,12.858,Aug_20
105080,RODA CARE HB,153,Aug_20
105081,RODA LAC CAB GLOSS,50,Aug_20
105084,GEALUX QT,270.55,Aug_20
105086,EX WT 43 051,1857.51,Aug_20
105114,SODA CASTIC,250,Aug_20
