Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments
104555,FI-70-306,STAHL Singapore,O,25,55,Auxiliary,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT"
104512,Melio Wax AL-03,STAHL Singapore,O,23,60,#N/A,"WAX DECO&CLASSIC, FISS1 VINTAGE"
104805,CONTEX FUCHSIA,SAMIA,O,70,120,Pigmented,
105462,OPERA RUBINO,GSC,O,70,120,Pigmented,GSC pigment
104803,GIALLO CONTEX ECP,SAMIA,O,70,120,#N/A,
105468,OPERA GIALLO,GSC,O,70,120,Pigmented,GSC pigment
104557,CONTEX GIALLO PK,SAMIA,O,70,60,Pigmented,
105472,OPERA ARANCIO,GSC,O,70,120,Pigmented,GSC pigment
104745,ISOLAC GIALLO ORO,SAMIA,O,70,10,Pigmented,"xai het khong mua nua chuyen qua ""SHADE YELLOW"""
105593,SHADE YELLOW/EJ,GSC,,70,10,Pigmented,"pigment EFF nitro, KELA"
105611,SHADE YELLOW CO/EJ,GSC,,70,10,#N/A,"pigment EFF nitro, KELA"
104766,BRITEX GREEN,SAMIA,O,70,1,Pigmented,
104727,DILUENT NITRO GL,RIVERBANK,D,14,850,Solvent,"pha EFF, FISS nitro và v? sinh"
104564,HM-283,STAHL Singapore,O,20,1,Auxiliary,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP"
100029,HM-183                   ,STAHL,O,80,1,#N/A,TIP BY MACHINE FOR BONO TT TIP
104563,HM-132,STAHL Singapore,O,23,22.5,Solvent,
105205,HM-22-132,STAHL Singapore,O,25,25,Solvent,FISS nitro
100322,ICALAC SB 200,ICAP,O,83,110,Solvent,"KELA mua nhieu len, de 2 thang mua mot lan"
104938,COMPACT HP3,RECALAC,O,80,1000,Binder,compound
104952,EX-RC -57-611/B,STAHL EUROPE BV,O,80,1000,#N/A,(DONE)-Stahl Germany have another 14ton in their stock.
104867,BASEMASK 5000,SMIT FINISHING,O,70,120,Binder,"SOFT, MALTA, OVAR"
105321,BASEMUSK 5500,SMIT FINISHING,O,85,120,Binder,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article."
104931,BINDER M-PR 400,GSC ITALY,O,80,1000,Binder,Compound
104932,BINDER W 212,GSC ITALY,O,80,1000,Binder,"Compound,NCC doi ten thanh (BINDER W 207)"
105151,BINDER W 207,GSC ITALY,O,80,1000,Binder,ten moi BINDER W 212
104928,RODA BASE 5615,TFL,O,85,120,Binder,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro"
104987,BUTIL DIGLYCOL,SAMCHEM,D,14,200,#N/A,
105283,BUTYL CARBITOL (BC),SAMCHEM,D,14,200,Solvent,add on FISS water
104579,LAMOIL GS,UNICHEM,O,0,1,Auxiliary,
104730,LAMSOFT SW16,UNICHEM,O,54,100,Auxiliary,replace with Roda Feel 768N
105263,RODA FEEL 768/ N,TFL,O,85,30,Auxiliary,"Tato Milling art ELLINGTESSE K TT, add on FISS water"
104696,LAMSOFT W 81,UNICHEM,O,54,100,Auxiliary,
104709,LAMWAX 6,UNICHEM,O,54,120,#N/A,
104806,CONTEX LEMON C,SAMIA,O,70,120,Pigmented,
105469,OPERA LIMONE,GSC,O,70,120,Pigmented,GSC pigment
104746,ISOLAC LEMON LP,SAMIA,O,70,10,Pigmented,"xai het khong mua, chuyen qua  SHADE LEMON"
105594,SHADE LEMON/EJ,GSC,O,70,10,#N/A,"pigment EFF nitro, KELA"
104759,BRITEX LEMON ICE,SAMIA,O,70,1,Pigmented,
104588,LS-8296,STAHL Singapore,O,23,100,Solvent,
105353,LS-64-296 ,STAHL Europe,O,83,100,#N/A,THUNDER
104891,LS-64-256,STAHL Singapore,O,25,100,Solvent,"EMU, FIS 1,VINTAGE, EFF WILD"
104792,RODA LAC S 214,TFL,O,85,110,Solvent,
105310,RODA LAC S 214/N,TFL,O,85,110,Solvent,"EF+FISS NITRO, SIENA"
104729,TRUMP FINISH 6311,ISELLO,O,75,45,Solvent,
105016,SU-2960,STAHL Netherlands,O,105,100,#N/A,
104937,MELIO AQUABASE W-MN,STAHL Singapore,O,25,70,Binder,STUCCO BY HAND
104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,14,1,#N/A,
104680,MEK-CLEANING SOLVENT,RIVERBANK,D,14,165,Solvent,FISS nitro
104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,25,120,Binder,
104961,RODA PUR 65,TFL,O,85,1000,Binder,xai het chuyen qua ASTACIN FINISH PUMN TF
105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,28,120,Binder,xai het PUR 65 chuyen qua xai TF Singapore
104960,RODA LINK 5504/N,TFL,O,85,10,Auxiliary,cross linker
104675,MELIO 09-R-179,STAHL,O,83,10,Auxiliary,same as Rodalink 5504
105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,0,10,#N/A,
105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,0,10,#N/A,
104734,TOUCHMILL C/FAT,GSC ITALY,O,80,1000,Auxiliary,OLIO
104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,80,1000,Auxiliary,Will flush out and stop
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,80,1000,Auxiliary,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI"
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,80,120,Auxiliary,"MILLING CAPITAL,BOWIE"
104799,NERO CONTEX M,SAMIA,O,70,120,#N/A,"can replace by PP Stahl 19215, PP 11315)"
105464,OPERA NERO FR,GSC,O,70,120,Pigmented,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr)
105180,OXY FINE NERO FR,GSC,O,70,120,Pigmented,GSC pigment (tên m?i c?a opera nero)
104754,ISOLAC NERO,SAMIA,O,70,10,Pigmented,
105595,SHADE BLACK/EJ,GSC,O,70,10,Pigmented,
104914,SAMIACEL LACCA 793,SAMIA,O,70,50,Solvent,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX"
105533,SAMIACEL LACCA 793 ET,SAMIA,O,70,50,Solvent,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX"
104915,SAMIACEL OPACO 813,SAMIA,O,70,50,Solvent,
105515,SAMIACEL OPACO 813 ET,SAMIA,O,70,50,Solvent,"FISS nitro, SIENA, Maestro"
104966,SMITFIX M 9556,SMIT FINISHING,O,85,110,Binder,
104964,RODA FIX 6271/B,TFL,O,85,1000,Binder,fiss water mau trang
105410,EX-WT-35-711,STAHL Singapore,O,25,120,Binder,xai FISS water 
104708,NOVA M 16/NF,UNICHEM,O,54,120,Binder,
104973,TFIX M 9562,SMIT FINISHING,O,70,120,Binder,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM"
104812,NOVA NT/L NF,UNICHEM,O,54,120,Binder,
104824,NOVOLAC 750,RECALAC,O,70,1000,Binder,EMU DARK
105376,TOPCELL VOC FREE,Tanquimica BRazil,O,76,1000,Binder,EMUL: ASIAMA and MANWAH
105223,EXP AQ SYSTEM EF 91/8,GSC,O,70,120,Binder,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP"
105170,AQ SYSTEM EF 91/8,,,,,#N/A,
104758,BRITEX ORANGE,SAMIA,O,70,1,Pigmented,
104800,OCRA CONTEX,SAMIA,O,70,160,#N/A,
105465,OPERA OCRA DL,GSC,O,70,150,Pigmented,GSC project
104747,ISOLAC  OCRA ,SAMIA,O,70,10,#N/A,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL"""
105596,SHADE CARAMEL/EJ,GSC,O,70,10,#N/A,"pigment EFF nitro, KELA"
104929,RODA BASE RECO 8,TFL,O,85,115,Binder,PRE
104963,RODA CARE NL,TFL,O,85,115,Binder,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro"
104728,PRIMEX UD 32,GSC ITALY,O,80,120,Binder,
104761,BRITEX RED,SAMIA,O,70,1,Pigmented,
104624,RODA CRYL 137,TFL,O,85,120,Binder,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,…."
104625,RODA FEEL S 930,TFL,O,85,22,Auxiliary,add on FISS nitro
