MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W CAPRI 10/12 TR1 (17105) PC,FR PIN TBH COB PB CAPRI 17105,17105,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (17119) PC,FR PIN TBH EMU LIG COL,17119,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (2776) PC,FR PIN TBH EMU LIG COL,2776,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (3281) PC,FR PIN TBH COB PB CAPRI 3281,3281,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (5040) PC,FR PIN TBH COB PB CAPRI 5040,5040,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (5045) PC,FR PIN TBH EMU TOPCELL,5045,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (5067) PC,FR PIN TBH COB PB CAPRI 5067,5067,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (8404) PC,FR PIN TBH COB PB CAPRI 8404,8404,CAPRI,TOP,,
CAC-W CAPRI 10/12 TR1 (8419) PC,FR PIN TBH COB PB CAPRI 8419,8419,CAPRI,TOP,,
CAC-W CARUSO 09/11 TR1 (2701) PC,FR PIN TBH FS F212,2701,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (3771) PC,FR PIN TBH FS F212,3771,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (3789) PC,FR PIN TBH FS F212,3789,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (3790) PC,FR PIN TBH EMU DK COL,3790,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (3795) PC,FR PIN TBH FS F212,3795,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (4701) PC,FR PIN TBH FS F212,4701,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (5047) PC,FR PIN TBH FS F212,5047,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (5066) PC,FR PIN TBH FS F212,5066,CARUSO,TOP,,
CAC-W CARUSO 09/11 TR1 (7093) PC,FR PIN TBH FS F212,7093,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (12053) PC,FR PIN TBH FS F212,12053,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (1261) PC,FR PIN TBH FS F212,1261,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (1277) PC,FR PIN TBH FS F212,1277,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (13119) PC,FR PIN TBH FS F212,13119,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (13151) PC,FR PIN TBH FS F212,13151,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (1363),FR PIN TBH FS F212,1363,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (17115) PC,FR PIN TBH FS F212,17115,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (17173) PC,FR PIN TBH FS F212,17173,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (2235) PC,FR PIN TBH FS F212,2235,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (2308) PC,FR PIN TBH FS F212,2308,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (3796) PC,FR PIN TBH FS F212,3796,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (3799) PC,FR PIN TBH FS F212,3799,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (4709) PC,FR PIN TBH FS F212,4709,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (5304) PC,FR PIN TBH FS F212,5304,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (6007),FR PIN TBH FS F212,6007,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (6071) PC,FR PIN TBH FS F212,6071,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (7644) PC,FR PIN TBH FS F212,7644,CARUSO,TOP,,
CAC-W CARUSO K TT 09/11 TR1 (8514) PC,FR PIN TBH FS F212,8514,CARUSO,TOP,,
CAC-W CARUSO PC 09/11 TR1 (8879) PC,FR PIN TBH FS F212,8879,CARUSO,TOP,,
CAC-W CARUSO WHITE 09/11 TR1 (9155) PC,FR PIN TBH COB PB CARUSO WHITE 9155,9155,CARUSO,TOP,,
CAC-W CASCAIS TIP 11/13 TR1 (12006) PC,FR PIN TBH PB X ARTICLE,12006,CASCAIS,TOP,,
CAC-W CASCAIS TIP 11/13 TR1 (17010) PC,FR PIN TBH PB X ARTICLE,17010,CASCAIS,TOP,,
CAC-W CASCAIS TIP 11/13 TR1 (7883) PC,FR PIN TBH PB X ARTICLE,7883,CASCAIS,TOP,,
CAC-W CEPHEI K TT 09/11 TR (5352) PC,FR PIN TBH PB X ARTICLE,5352,CEPHEI,TOP,,
CAC-W CHIPLEY TT 09/11 TR1 (2774) PC,FR PIN TBH FS F212,2774,CHIPLEY,TOP,,
CAC-W CLASSIC 09/11 TR1 (5207),FR PIN TBH PB X ARTICLE,5207,CLASSIC,TOP,,
CAC-W CLASSIC TT 09/11 TR1 (9037),FR PIN TBH PB X ARTICLE,9037,CLASSIC,TOP,,
CAC-W CLASSIC WAX 09/11 TR1 (1321),FR PIN TBH PB X ARTICLE,1321,CLASSIC,TOP,,
CAC-W COLORADO K TT 12/14 TR1 (2745) PC,FR PIN TBH PB X ARTICLE,2745,COLORADO,TOP,,
CAC-W COLORADO K TT 12/14 TR1 (7768),FR PIN TBH PB X ARTICLE,7768,COLORADO,TOP,,
CAC-W COLT K TT 14/16 TR1 (13011) PC,FR PIN TBH FS C3H8O,13011,COLT,TOP,,
CAC-W COOPER 09/11 TR (5079) PC,FR PIN TBH PB X ARTICLE,5079,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR (13280) PC,FR PIN TBH PB X ARTICLE,13280,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR (13407) PC,FR PIN TBH PB X ARTICLE,13407,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR (13408) PC,FR PIN TBH PB X ARTICLE,13408,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR (13409) PC,FR PIN TBH PB X ARTICLE,13409,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR (17065) PC,FR PIN TBH PB X ARTICLE,17065,COOPER,TOP,,
CAC-W COOPER K TT 09/11 TR1 (2707) PC,FR PIN TBH PB X ARTICLE,2707,COOPER,TOP,,
CAC-W CUBA 09/11 TR1 (5301),FR PIN TBH PB X ARTICLE,5301,CUBA,TOP,,
CAC-W CUBA 09/11 TR1 (8125),FR PIN TBH PB X ARTICLE,8125,CUBA,TOP,,
CAC-W CUBA 09/11 TR1 (9027),FR PIN TBH PB X ARTICLE,9027,CUBA,TOP,,
CAC-W CUBA 09/11 TR1 (9636),FR PIN TBH PB X ARTICLE,9636,CUBA,TOP,,
CAC-W DAKOTA TIP 14/16 TR1 (9488) PC,FR PIN TBH FS F212,9488,DAKOTA,TOP,,
CAC-W DATANLA K TT 09/11 TR1 (2326) PC,FR PIN TBH PB X ARTICLE,2326,DATANLA,TOP,,
CAC-W DATANLA K TT 09/11 TR1 (7347) PC,FR PIN TBH PB X ARTICLE,7347,DATANLA,TOP,,
CAC-W DATANLA K TT 09/11 TR1 (7356) PC,FR PIN TBH PB X ARTICLE,7356,DATANLA,TOP,,
CAC-W DATANLA K TT TS 09/11 TR (7356) PC,FR PIN TBH COB BC DATANLA K TT TS 7356,7356,DATANLA,SPLIT,,
CAC-W DATANLA K TT TSF 12/14 TR (2326),FR PIN TBH PB X ARTICLE,2326,DATANLA,SPLIT,,
CAC-W DATANLA K TT TSF 12/14 TR(7347),FR PIN TBH COB BC DATANLA K TT TS 7347,7347,DATANLA,SPLIT,,
CAC-W DATANLA TSF TT 09/11 TR (9359) PC,FR PIN TBH PB X ARTICLE,9359,DATANLA,SPLIT,,
CAC-W DATANLA TT 09/11 TR1 (9359) PC,FR PIN TBH PB X ARTICLE,9359,DATANLA,TOP,,
CAC-W DAYTONA 09/11 TR1 (5233),FR PIN TBH PB X ARTICLE,5233,DAYTONA,TOP,,
CAC-W DAYTONA 09/11 TR1 (8149),FR PIN TBH PB X ARTICLE,8149,DAYTONA,TOP,,
CAC-W DAYTONA 09/11 TR1 (8343) PC,FR PIN TBH PB X ARTICLE,8343,DAYTONA,TOP,,
CAC-W DAYTONA TT 09/11 TR1 (8150),FR PIN TBH PB X ARTICLE,8150,DAYTONA,TOP,,
CAC-W DECO 09/11 TR1 (13211) PC,FR PIN TBH PB X ARTICLE,13211,DECO,TOP,,
CAC-W DECO 09/11 TR1 (1339),FR PIN TBH PB X ARTICLE,1339,DECO,TOP,,
CAC-W DECO 09/11 TR1 (17135) PC,FR PIN TBH PB X ARTICLE,17135,DECO,TOP,,
CAC-W DECO 09/11 TR1 (4381) PC,FR PIN TBH PB X ARTICLE,4381,DECO,TOP,,
CAC-W DECO 09/11 TR1 (5345),FR PIN TBH PB X ARTICLE,5345,DECO,TOP,,
CAC-W DECO 09/11 TR1 (5750) PC,FR PIN TBH PB X ARTICLE,5750,DECO,TOP,,
CAC-W DECO 09/11 TR1 (7380),FR PIN TBH PB X ARTICLE,7380,DECO,TOP,,
CAC-W DECO 09/11 TR1 (7381) PC,FR PIN TBH PB X ARTICLE,7381,DECO,TOP,,
CAC-W DECO 09/11 TR1 (9340),FR PIN TBH PB X ARTICLE,9340,DECO,TOP,,
CAC-W DECO K TT 09/11 TR1 (9321) PC,FR PIN TBH PB X ARTICLE,9321,DECO,TOP,,
CAC-W DECO K TT 09/11 TR1 (9348) PC,FR PIN TBH PB X ARTICLE,9348,DECO,TOP,,
CAC-W DESTIN K TT TIP 12/14 TR1 (2789),FR PIN TBH COB BC DESTIN K TT TIP 2789,2789,DESTIN,TOP,,
CAC-W DISTRESS 11/13 TR1 (6037),FR PIN TBH COB BC DISTRESS 6037,6037,DISTRESS,TOP,,
CAC-W DISTRESS 11/13 TR1 (7889) PC,FR PIN TBH COB BC DISTRESS 7889,7889,DISTRESS,TOP,,
CAC-W DOLIN K TT TIP 11/13 TR (13232) PC,FR PIN TBH FS C3H8O,13232,DOLIN,TOP,,
CAC-W DOLIN K TT TIP 11/13 TR (17033) PC,FR PIN TBH FS C3H8O,17033,DOLIN,TOP,,
CAC-W DURBAN TIP 12/14 TR1 (8893) PC,FR PIN TBH COB BC DURBAN TIP 8893,8893,DURBAN,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (12019),FR PIN TBH EMU TOPCELL,12019,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (1249),FR PIN TBH EMU TOPCELL,1249,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (1263),FR PIN TBH COB PB ELLINGTON KTT LUX 1263,1263,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13047),FR PIN TBH FS F212,13047,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13092),FR PIN TBH FS F212,13092,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13158),FR PIN TBH FS F212,13158,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13258),FR PIN TBH FS F212,13258,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13436),FR PIN TBH EMU TOPCELL,13436,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (13455),FR PIN TBH COB PB ELLIT K TT LUX 13455,13455,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (17161),FR PIN TBH COB PB ELLINGTON K TT 17161,17161,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2274),FR PIN TBH COB PB ELLINGTON KTT LUX 2274,2274,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2283),FR PIN TBH FS F212,2283,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2374),FR PIN TBH FS F212,2374,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2705),FR PIN TBH FS F212,2705,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2759),FR PIN TBH FS F212,2759,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (2783),FR PIN TBH COB PB ELLINGTON K TT 2783,2783,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (6324),FR PIN TBH FS F212,6324,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (7652),FR PIN TBH COB PB ELLINGTON KTT LUX 7652,7652,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (8801),FR PIN TBH FS F212,8801,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR (9473),FR PIN TBH FS F212,9473,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR1 (17161),FR PIN TBH COB BP ELLINGTON TT LUX 5065,17161,ELLI,TOP,,
CAC-W ELLI K TT LUX 11/13 TR1 (4784),FR PIN TBH FS F212,4784,ELLI,TOP,,
CAC-W ELLI K TT LUXS 11/13 TR (2722),FR PIN TBH COB PB ELLINGTON K TT S 2722,2722,ELLI,TOP,,
CAC-W ELLI K TT TS 11/13 TR (13158),FR PIN TBH COB BC ELLINGTON KTT TS 13158,13158,ELLI,SPLIT,,
CAC-W ELLI LUX 11/13 TR (1239) PC,FR PIN TBH EMU TOPCELL,1239,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (13255) PC,FR PIN TBH EMU TOPCELL,13255,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (13454) PC,FR PIN TBH COB PB ELLINGTON LUX 13454,13454,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (17160) PC,FR PIN TBH COB PB ELLINGTON LUX 17160,17160,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (2784),FR PIN TBH COB PB ELLINGTON K TT 2784,2784,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (6832) PC,FR PIN TBH COB PB ELLINGTON LUX 6832,6832,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (7182) PC,FR PIN TBH COB PB ELLINGTON LUX 7182,7182,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (7872) PC,FR PIN TBH EMU TOPCELL,7872,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (8180) PC,FR PIN TBH COB PB ELLINGTON LUX 8180,8180,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (8549) PC,FR PIN TBH COB PB ELLINGTON PC LUX 8549,8549,ELLI,TOP,,
CAC-W ELLI LUX 11/13 TR (8863) PC,FR PIN TBH COB PB ELLINGTON PC LUX 8863,8863,ELLI,TOP,,
CAC-W ELLI TT LUX 11/13 TR (5065),FR PIN TBH COB BP ELLINGTON TT LUX 5065,5065,ELLI,TOP,,
CAC-W ELLI TT LUX 11/13 TR (6030),FR PIN TBH FS F212,6030,ELLI,TOP,,
CAC-W ELLI TT LUX 11/13 TR (8084),FR PIN TBH FS F212,8084,ELLI,TOP,,
CAC-W ELLI TT LUX 11/13 TR1 (6030),FR PIN TBH COB BP ELLINGTON TT LUX 6030,6030,ELLI,TOP,,
CAC-W ELLINGTESSE 11/13 TR (13273) PC,FR PIN TBH EMU TOPCELL,13273,ELLINGTESSE,TOP,,
CAC-W ELLINGTESSE K TT 11/13 TR (13088),FR PIN TBH COB PB ELLINGTESSE K TT 13088,13088,ELLINGTESSE,TOP,,
CAC-W EMO TIP 13/15 TR1 (3744) PC,FR PIN TBH COB BC EMO TIP 3744,3744,EMO,TOP,,
CAC-W ESTOI TT 09/11 TR1 (13066) PC,FR PIN TBH FS F212,13066,ESTOI,TOP,,
CAC-W EXPRESS K TT 09/11 TR1 (1313) PC,FR PIN TBH PB X ARTICLE,1313,EXPRESS,TOP,,
CAC-W EXPRESS K TT 09/11 TR1 (1748) PC,FR PIN TBH PB X ARTICLE,1748,EXPRESS,TOP,,
CAC-W FARO K TT 12/14 TR (3768) PC,FR PIN TBH FS C3H8O,3768,FARO,TOP,,
CAC-W FARO K TT 12/14 TR (7349) PC,FR PIN TBH FS C3H8O,7349,FARO,TOP,,
CAC-W FLORIDA 09/11 TR1 (4300),FR PIN TBH PB X ARTICLE,4300,FLORIDA,TOP,,
CAC-W FLORIDA 09/11 TR1 (4328) PC,FR PIN TBH PB X ARTICLE,4328,FLORIDA,TOP,,
CAC-W FLOW 09/11 TR1 (2291) PC,FR PIN TBH FS F212,2291,FLOW,TOP,,
CAC-W FLOW 09/11 TR1 (3739) PC,FR PIN TBH FS F212,3739,FLOW,TOP,,
CAC-W GABLES K TT 12/14 TR1 (6356) PC,FR PIN TBH PB X ARTICLE,6356,GABLES,TOP,,
CAC-W GABLES K TT 12/14 TR2 (13111) PC,FR PIN TBH PB X ARTICLE,13111,GABLES,TOP,,
CAC-W GALICE TT TIP 12/14 TR1 (2716),FR PIN TBH FS SB-150,2716,GALICE,TOP,,
CAC-W GALICE TT TIP 12/14 TR1 (7781),FR PIN TBH FS SB-150,7781,GALICE,TOP,,
CAC-W GOBIEW 13/15 TR (9170) PC,FR PIN TBH COB PB GOBIEW 9170,9170,GOBIEW,TOP,,
CAC-W GOBIEW 13/15 TR1 (12103) PC,FR PIN TBH COB PB GOBIEW 12103,12103,GOBIEW,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (2260) PC,FR PIN TBH COB BC GOLD MERCEDES 2260,2260,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (2261) PC,FR PIN TBH COB BC GOLD MERCEDES 2261,2261,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (2262) PC,FR PIN TBH COB BC GOLD MERCEDES 2262,2262,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (4316) PC,FR PIN TBH COB BC GOLD MERCEDES 4316,4316,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (4318) PC,FR PIN TBH COB BC GOLD MERCEDES 4318,4318,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (4322) PC,FR PIN TBH COB BC GOLD MERCEDES 2261,4322,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (4742) PC,FR PIN TBH COB BC GOLD MERCEDES 4742,4742,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (4743) PC,FR PIN TBH COB BC GOLD MERCEDES 4743,4743,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (6054) PC,FR PIN TBH FS F212,6054,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (7047) PC,FR PIN TBH COB BC GOLD MERCEDES 7047,7047,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR1 (7615) PC,FR PIN TBH COB BC GOLD MERCEDES 2261,7615,GOLD,TOP,,
CAC-W GOLD MERCEDES 09/11 TR2 (7013) PC,FR PIN TBH COB BC GOLD MERCEDES 7013,7013,GOLD,TOP,,
CAC-W GRADA K TT TSF 09/11 (17175),FR PIN TBH FS F212,17175,GRADA,SPLIT,,
CAC-W GRETNA TT 09/11 TR1 (13129) PC,FR PIN TBH COB BC GRETNA TT 13129,13129,GRETNA,TOP,,
CAC-W HAWAII 09/11 TR1 (5645),FR PIN TBH PB X ARTICLE,5645,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (8009),FR PIN TBH PB X ARTICLE,8009,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (8218),FR PIN TBH PB X ARTICLE,8218,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (8219),FR PIN TBH PB X ARTICLE,8219,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (8398),FR PIN TBH PB X ARTICLE,8398,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (9475) PC,FR PIN TBH PB X ARTICLE,9475,HAWAII,TOP,,
CAC-W HAWAII 09/11 TR1 (9891),FR PIN TBH PB X ARTICLE,9891,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (3389) PC,FR PIN TBH PB X ARTICLE,3389,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (7392) PC,FR PIN TBH PB X ARTICLE,7392,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (7833),FR PIN TBH PB X ARTICLE,7833,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (7876) PC,FR PIN TBH PB X ARTICLE,7876,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (8216),FR PIN TBH PB X ARTICLE,8216,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (8609),FR PIN TBH PB X ARTICLE,8609,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (8780),FR PIN TBH PB X ARTICLE,8780,HAWAII,TOP,,
CAC-W HAWAII K TT 09/11 TR1 (9853),FR PIN TBH PB X ARTICLE,9853,HAWAII,TOP,,
CAC-W HAWAII K TT TIP 09/11 TR1 (7320),FR PIN TBH PB X ARTICLE,7320,HAWAII,TOP,,
CAC-W HAWAII K TT TSF 12/14 TR (7833) PC,FR PIN TBH PB R8,7833,HAWAII,SPLIT,,
CAC-W HAWAII TIP 09/11 TR1 (1716),FR PIN TBH PB X ARTICLE,1716,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (2213) PC,FR PIN TBH PB X ARTICLE,2213,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (3261) PC,FR PIN TBH PB X ARTICLE,3261,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (5231),FR PIN TBH PB X ARTICLE,5231,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (7060) PC,FR PIN TBH PB X ARTICLE,7060,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (7395),FR PIN TBH PB X ARTICLE,7395,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (8286),FR PIN TBH PB X ARTICLE,8286,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9071),FR PIN TBH PB X ARTICLE,9071,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9162) PC,FR PIN TBH COB PB HAWAII TIP 9162,9162,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9461),FR PIN TBH PB X ARTICLE,9461,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9514),FR PIN TBH PB X ARTICLE,9514,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9526),FR PIN TBH PB X ARTICLE,9526,HAWAII,TOP,,
CAC-W HAWAII TIP 09/11 TR1 (9651),FR PIN TBH PB X ARTICLE,9651,HAWAII,TOP,,
CAC-W HAWAII TS 12/14 TR (9514) PC,FR PIN TBH COB BC HAWAII TS 9514,9514,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (1716) PC,FR PIN TBH PB R8,1716,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (5231) PC,FR PIN TBH PB R8,5231,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (7395) PC,FR PIN TBH PB R8,7395,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9071) PC,FR PIN TBH PB R8,9071,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9461) PC,FR PIN TBH PB R8,9461,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9475) PC,FR PIN TBH PB R8,9475,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9514) PC,FR PIN TBH PB R8,9514,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9526) PC,FR PIN TBH PB R8,9526,HAWAII,SPLIT,,
CAC-W HAWAII TSF 12/14 TR (9651) PC,FR PIN TBH PB R8,9651,HAWAII,SPLIT,,
CAC-W HERCULES 13/15 TR1 (12026) PC,FR PIN TBH COB PB HERCULES 12026,12026,HERCULES,TOP,,
CAC-W HERCULES 13/15 TR1 (4298) PC,FR PIN TBH COB PB HERCULES 4298,4298,HERCULES,TOP,,
CAC-W HERCULES 13/15 TR1 (7156) PC,FR PIN TBH COB PB HERCULES 7156,7156,HERCULES,TOP,,
CAC-W HERCULES 13/15 TR1 (9180) PC,FR PIN TBH EMU LIG COL,9180,HERCULES,TOP,,
CAC-W HERCULES TSF TT 12/14 TR (7236) PC,FR PIN TBH FI WA HERCULES TT 50-50 IC,7236,HERCULES,SPLIT,,
CAC-W HERCULES TT 09/11 TR1 (13095) PC,FR PIN TBH EMU LIG COL,13095,HERCULES,TOP,,
CAC-W HERCULES TT 11/13 TR1 (1289) PC,FR PIN TBH COB PB HERCULES TT 1289,1289,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (12001) PC,FR PIN TBH EMU LIG COL,12001,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (1257) PC,FR PIN TBH COB PB HERCULES TT 1257,1257,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (1258) PC,FR PIN TBH COB PB HERCULES TT 1258,1258,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13148) PC,FR PIN TBH COB PB HERCULES TT 13148,13148,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13155) PC,FR PIN TBH COB PB HERCULES TT 13155,13155,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13156) PC,FR PIN TBH COB PB HERCULES TT 13156,13156,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13253) PC,FR PIN TBH EMU LIG COL,13253,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13285) PC,FR PIN TBH EMU LIG COL,13285,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (13286) PC,FR PIN TBH EMU LIG COL,13286,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (17053) PC,FR PIN TBH EMU LIG COL,17053,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (17072) PC,FR PIN TBH COB PB HERCULES TT 17072,17072,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (17073) PC,FR PIN TBH COB PB HERCULES TT 17073,17073,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (3740) PC,FR PIN TBH EMU LIG COL,3740,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4278) PC,FR PIN TBH EMU LIG COL,4278,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4339) PC,FR PIN TBH COB PB HERCULES TT 4339,4339,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4340) PC,FR PIN TBH COB PB HERCULES TT 4340,4340,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4706) PC,FR PIN TBH COB PB HERCULES TT 4706,4706,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4777) PC,FR PIN TBH COB PB HERCULES TT 4777,4777,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (4799) PC,FR PIN TBH COB PB HERCULES TT 4799,4799,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (5745) PC,FR PIN TBH COB PB HERCULES TT 5745,5745,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (5771) PC,FR PIN TBH COB PB HERCULES TT 5771,5771,HERCULES,TOP,,
CAC-W HERCULES TT 13/15 TR1 (7236) PC,FR PIN TBH COB PB HERCULES TT 7236,7236,HERCULES,TOP,,
