MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W ALINE K TT 09/11 TR1 (1311) PC,FR PIN TBH PB X ARTICLE,1311,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13144) PC,FR PIN TBH FS F212,13144,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13168) PC,FR PIN TBH FS F212,13168,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13173) PC,FR PIN TBH FS F212,13173,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (1318) PC,FR PIN TBH PB X ARTICLE,1318,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13203) PC,FR PIN TBH PB X ARTICLE,13203,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13204) PC,FR PIN TBH PB X ARTICLE,13204,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13205) PC,FR PIN TBH PB X ARTICLE,13205,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13206) PC,FR PIN TBH PB X ARTICLE,13206,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13230) PC,FR PIN TBH PB X ARTICLE,13230,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13231) PC,FR PIN TBH PB X ARTICLE,13231,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13241) PC,FR PIN TBH COB CC ALINE K TT 13241,13241,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13257) PC,FR PIN TBH FS F212,13257,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13263) PC,FR PIN TBH PB X ARTICLE,13263,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13266),FR PIN TBH PB X ARTICLE,13266,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13267),FR PIN TBH PB X ARTICLE,13267,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1327) PC,FR PIN TBH PB X ARTICLE,1327,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13284) PC,FR PIN TBH PB X ARTICLE,13284,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13287) PC,FR PIN TBH FS F212,13287,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13291) PC,FR PIN TBH FS F212,13291,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (13296) PC,FR PIN TBH PB X ARTICLE,13296,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13299) PC,FR PIN TBH PB X ARTICLE,13299,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13303) PC,FR PIN TBH PB X ARTICLE,13303,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13304) PC,FR PIN TBH PB X ARTICLE,13304,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13305) PC,FR PIN TBH PB X ARTICLE,13305,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13312) PC,FR PIN TBH PB X ARTICLE,13312,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13320) PC,FR PIN TBH PB X ARTICLE,13320,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13321) PC,FR PIN TBH PB X ARTICLE,13321,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13322) PC,FR PIN TBH PB X ARTICLE,13322,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13345) PC,FR PIN TBH PB X ARTICLE,13345,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1336) PC,FR PIN TBH PB X ARTICLE,1336,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13381) PC,FR PIN TBH PB X ARTICLE,13381,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13421) PC,FR PIN TBH PB X ARTICLE,13421,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13429) PC,FR PIN TBH PB X ARTICLE,13429,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13432) PC,FR PIN TBH PB X ARTICLE,13432,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (13533) PC,FR PIN TBH PB X ARTICLE,13533,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1362) PC,FR PIN TBH PB X ARTICLE,1362,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1364) PC,FR PIN TBH PB X ARTICLE,1364,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1366) PC,FR PIN TBH PB X ARTICLE,1366,ALINE,TOP,4,
