FAMILY_ARTICLES_FULL,COLOR,ART_TYPE,SetupTimes,monthlyFORECAST
VINT SO K TT,9356,TOP,0.513,5022.0
VINT SO K TT,9389,TOP,0.423,4143.0
VINT SO K TT,9577,SPLIT,0.36,3528.0
VINT SO K TT,9577,TOP,0.351,3441.0
VINT SO K TT,12029,TOP,0.423,4143.0
VINT SO K TT,13271,TOP,0.701,6866.0
VINT SO K TT,13314,TOP,0.468,4582.0
VINT SO K TT,13318,TOP,0.387,3792.0
VINT SO K TT,13375,TOP,0.36,3528.0
VINT SO K TT,13450,TOP,0.719,7042.0
VINT SO K TT,13469,TOP,0.558,5461.0
VINT SO K TT TSF,2259,SPLIT,0.355,2859.0
VINT SO K TT TSF,3378,SPLIT,0.835,6724.0
VINT SO K TT TSF,4315,SPLIT,0.421,3386.0
VINT SO K TT TSF,4317,SPLIT,0.366,2947.0
VINT SO K TT TSF,8262,SPLIT,0.355,2859.0
VINT SO K TT TSF,13271,SPLIT,0.628,5055.0
VINT SO K TT TSF,13314,SPLIT,0.475,3825.0
