,Material,Stock_CH01
0,100094,204.0
1,100322,2200.0
2,100413,500.0
3,101261,2345.0
4,104528,75.0
5,104541,1330.0
6,104555,990.0
7,104564,50.0
8,104572,2200.0
9,104601,3.0
10,104624,600.0
11,104625,506.0
12,104642,179.0
13,104644,840.0
14,104645,1680.0
15,104672,2090.0
16,104673,1400.0
17,104676,6720.0
18,104690,120.0
19,104691,840.0
20,104727,9350.0
21,104729,855.0
22,104744,170.0
23,104745,280.0
24,104747,90.0
25,104748,130.0
26,104749,240.0
27,104750,160.0
28,104752,270.0
29,104753,140.0
30,104754,660.0
31,104756,660.0
32,104757,1680.0
33,104769,360.0
34,104770,240.0
35,104790,120.0
36,104791,120.0
37,104804,120.0
38,104824,11000.0
39,104846,2880.0
40,104847,250.0
41,104858,320.0
42,104867,4200.0
43,104873,110.0
44,104877,90.0
45,104891,3200.0
46,104910,3500.0
47,104928,31000.0
48,104929,6440.0
49,104931,134000.0
50,104937,630.0
51,104938,56000.0
52,104941,50.0
53,104944,4510.0
54,104948,120.0
55,104949,240.0
56,104959,400.0
57,104960,3460.0
58,104962,240.0
59,104963,115.0
60,104964,3700.0
61,104965,1250.0
62,104973,5520.0
63,104978,240.0
64,104981,175.0
65,104988,3120.0
66,105008,240.0
67,105017,19.0
68,105020,720.0
69,105027,3720.0
70,105029,240.0
71,105031,120.0
72,105042,30.0
73,105045,300.0
74,105049,46.0
75,105059,40.0
76,105079,1120.0
77,105084,700.0
78,105126,50.0
79,105150,4920.0
80,105151,31000.0
81,105173,12000.0
82,105175,8160.0
83,105176,960.0
84,105177,250.0
85,105179,1650.0
86,105180,10080.0
87,105185,720.0
88,105187,480.0
89,105203,400.0
90,105204,120.0
91,105205,75.0
92,105210,10.0
93,105223,2640.0
94,105255,700.0
95,105263,1320.0
96,105273,100.0
97,105274,120.0
98,105277,30.0
99,105279,25.0
100,105282,188.0
101,105285,50.0
102,105288,40.0
103,105289,40.0
104,105290,40.0
105,105291,40.0
106,105299,40.0
107,105303,40.0
108,105310,12540.0
109,105311,30.0
110,105316,5.0
111,105318,40.0
112,105319,40.0
113,105336,2160.0
114,105349,150.0
115,105350,120.0
116,105353,100.0
117,105358,100.0
118,105369,2520.0
119,105370,120.0
120,105374,40.0
121,105375,125.0
122,105376,4000.0
123,105384,100.0
124,105385,1.0
125,105393,1100.0
126,105395,50.0
127,105402,1495.0
128,105403,15.0
129,105404,25.0
130,105405,100.0
131,105409,13080.0
132,105410,5040.0
133,105417,1.0
134,105441,120.0
135,105442,120.0
136,105443,1080.0
137,105455,1050.0
138,105457,2400.0
139,105458,840.0
140,105459,1080.0
141,105460,12320.0
142,105461,640.0
143,105462,1440.0
144,105463,720.0
145,105465,6600.0
146,105466,1080.0
147,105467,2250.0
148,105468,2160.0
149,105469,1680.0
150,105470,240.0
151,105471,1920.0
152,105472,360.0
153,105474,1320.0
154,105475,3240.0
155,105476,360.0
156,105492,75.0
157,105498,504.0
158,105500,10.0
159,105505,12200.0
160,105513,190.0
161,105515,5600.0
162,105516,1200.0
163,105533,1200.0
164,105534,300.0
165,105535,1080.0
166,105545,2530.0
167,105546,50.0
168,105549,25.0
169,105550,1680.0
170,105554,580.0
171,105559,960.0
172,105560,120.0
173,105561,50.0
174,105565,40.0
175,105594,50.0
176,105595,5.0
177,105600,600.0
178,105621,2280.0
179,105626,1060.0
180,105652,120.0
181,105655,8000.0
182,105656,7000.0
183,105659,30.0
184,105662,10.0
185,105663,10.0
186,105682,120.0
187,105684,20.0
188,105685,20.0
189,105697,20.0
190,105699,20.0
191,105701,120.0
192,105706,120.0
193,105707,200.0
194,105710,100.0
195,105711,100.0
196,105713,100.0
197,105716,100.0
198,105717,100.0
199,105718,100.0
200,105719,10.0
201,105720,10.0
202,105721,10.0
203,105739,10.0
204,105740,10.0
205,105741,10.0
206,105742,10.0
207,105743,10.0
208,105744,10.0
209,105745,10.0
210,105746,120.0
