,Material,Consumption on Current Month
0,100010.0,0.0
1,100017.0,0.0
2,100019.0,0.0
3,100029.0,0.0
4,100041.0,0.0
5,100045.0,0.0
6,100047.0,0.0
7,100062.0,0.0
8,100067.0,0.0
9,100094.0,22.207
10,100239.0,0.0
11,100322.0,234.185
12,100388.0,0.0
13,100410.0,0.0
14,100413.0,34.399
15,100427.0,0.0
16,100429.0,0.0
17,100700.0,0.0
18,101261.0,289.42
19,101332.0,0.0
20,101333.0,0.0
21,101374.0,0.0
22,101378.0,0.0
23,101380.0,0.0
24,101442.0,0.0
25,101880.0,0.0
26,101972.0,0.0
27,102570.0,0.0
28,102970.0,0.0
29,103170.0,0.0
30,103250.0,0.0
31,103640.0,0.0
32,103697.0,0.0
33,103870.0,0.0
34,104062.0,0.0
35,104124.0,0.0
36,104194.0,0.0
37,104195.0,0.0
38,104196.0,0.0
39,104197.0,0.0
40,104198.0,0.0
41,104199.0,0.0
42,104200.0,0.0
43,104201.0,0.0
44,104202.0,0.0
45,104203.0,0.0
46,104204.0,0.0
47,104205.0,0.0
48,104206.0,0.0
49,104207.0,0.0
50,104208.0,0.0
51,104209.0,0.0
52,104210.0,0.0
53,104211.0,0.0
54,104212.0,0.0
55,104213.0,0.0
56,104214.0,0.0
57,104215.0,0.0
58,104216.0,0.0
59,104217.0,0.0
60,104218.0,0.0
61,104219.0,0.0
62,104220.0,0.0
63,104221.0,0.0
64,104222.0,0.0
65,104223.0,0.0
66,104224.0,0.0
67,104225.0,0.0
68,104226.0,0.0
69,104227.0,0.0
70,104228.0,0.0
71,104229.0,0.0
72,104230.0,0.0
73,104231.0,0.0
74,104232.0,0.0
75,104233.0,0.0
76,104234.0,0.0
77,104235.0,0.0
78,104236.0,0.0
79,104237.0,0.0
80,104238.0,0.0
81,104239.0,0.0
82,104240.0,0.0
83,104241.0,0.0
84,104242.0,0.0
85,104243.0,0.0
86,104244.0,0.0
87,104245.0,0.0
88,104246.0,0.0
89,104247.0,0.0
90,104248.0,0.0
91,104249.0,0.0
92,104250.0,0.0
93,104251.0,0.0
94,104252.0,0.0
95,104253.0,0.0
