,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
848,105003,GEAPUR DNT,0.0,0.0,0.0,0.0,0.0,0.0
849,105004,GEAGROUND MA10,0.0,0.0,0.0,0.0,0.0,0.0
850,105005,GEAGROUND MA99,0.0,0.0,0.0,0.0,0.0,0.0
851,105006,SMITPUR K 2168,0.0,0.0,0.0,0.0,0.0,0.0
852,105007,SKYTONE SERIE,0.0,0.0,0.0,0.0,0.0,0.0
853,105008,BINDER M-RI 99,1072.927,889.913,1695.689,1957.274,2245.429,2402.041
854,105009,INACTIVATED - PRIMAL SB-100,0.0,0.0,0.0,0.0,0.0,0.0
855,105010,LACK FINISH U18 TAB,0.0,0.0,0.0,0.0,0.0,0.0
856,105011,LACK FINISH U18 TAB/O,0.0,0.0,0.0,0.0,0.0,0.0
857,105012,RODA FEEL KTA 950-BR,0.0,0.0,0.0,0.0,0.0,0.0
858,105013,RODA MOD FS,0.0,0.0,0.0,0.0,0.0,0.0
859,105014,RODA WAX KS,0.0,0.0,0.0,0.0,0.0,0.0
860,105015,CA 3303,0.0,0.0,0.0,0.0,0.0,0.0
861,105016,SU-2960,0.0,0.0,0.0,0.0,0.0,0.0
862,105017,SAMIANIL CB BLEU RP,0.0,0.0,0.0,0.0,0.0,0.0
863,105018,SAMIANIL CB ROSSO VIVO RP,0.0,0.0,0.0,0.0,0.0,0.0
864,105019,BASEMASK 6200,0.0,0.0,0.0,0.0,0.0,0.0
865,105020,BASEMASK 5755/T2,176.0,850.0,1050.0,895.0,490.0,559.0
866,105021,EXP AQUAFIX 1016,0.0,0.0,0.0,0.0,0.0,0.0
867,105022,LM TATTO SI 48,0.0,0.0,0.0,0.0,0.0,0.0
868,105023,TO V 146,0.0,0.0,0.0,0.0,0.0,0.0
869,105024,CRX 4255,0.0,0.0,0.0,0.0,0.0,0.0
870,105025,RODA BASE AF-B,0.0,0.0,0.0,0.0,0.0,0.0
871,105026,RODA FIX 6271/C,0.0,0.0,0.0,0.0,0.0,0.0
872,105027,RODA TEC AW,699.89,750.439,1567.521,1194.85,1303.3,1243.374
873,105028,RODA WAX KCF 90212/N,0.0,0.0,0.0,0.0,0.0,0.0
874,105029,RODA BASE SB,0.0,0.0,0.0,0.0,0.0,0.0
875,105030,RODA GROUND 4014,0.0,0.0,0.0,0.0,0.0,0.0
876,105031,RODA BASE RECO 4,0.0,0.0,0.0,0.0,0.0,0.0
877,105032,RODA LAC W 4076 DULL,0.0,0.0,0.0,0.0,0.0,0.0
878,105033,RODA LAC 3,0.0,0.0,0.0,0.0,0.0,0.0
879,105034,SMITZOOM 5755/T2,0.0,0.0,0.0,0.0,0.0,0.0
880,105035,TATTO S8,0.0,0.0,0.0,0.0,0.0,0.0
881,105036,RECAPUR FIX B/90,0.0,0.0,0.0,0.0,0.0,0.0
882,105037,RECAPUR FIX BRILL 21,0.0,0.0,0.0,0.0,0.0,0.0
883,105038,GEAGROUND BASE SNT,0.0,0.0,0.0,0.0,0.0,0.0
884,105039,GEAPUR DULL,0.0,0.0,0.0,0.0,0.0,0.0
885,105040,GEALUX GHS - A,0.0,0.0,0.0,0.0,0.0,0.0
886,105041,GEAGROUND BASA EC,0.0,0.0,0.0,0.0,0.0,0.0
887,105042,SAMIANIL CB ROSSO RP,0.02,0.453,2.165,3.553,0.137,0.148
