,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
36,105546.0,SELLA DERM BROWN M2,TFL Italy,O,85.0,25.0,Pigmented,"pigment EFF nitro, KELA",,,50.0,49.0,0.549,COMPOUND,1.0,0.0,4.0,5.0
37,104748.0,ISOLAC BRUNO,SAMIA,O,70.0,10.0,Pigmented,"xai het khong mua, chuyen qua ""SHADE TAN""",,,130.0,17.0,2.515,PIGMENT,12.0,17.0,8.0,6.0
38,105591.0,SHADE TAN/EJ,GSC,O,70.0,10.0,,"pigment EFF nitro, KELA",,,,6.0,0.0,,,,0.0,0.0
39,104749.0,ISOLAC BRUNO  ROSSO,SAMIA,O,70.0,10.0,,"xai het khong mua, chuyen qua ""SHADE BROWN""",,,240.0,62.0,6.999,PIGMENT,41.0,17.0,27.0,29.0
40,105592.0,SHADE BROWN/EJ,GSC,O,70.0,10.0,Pigmented,"pigment EFF nitro, KELA",,,,9.0,0.0,,,,0.0,0.0
41,104538.0,BUTILGLICOLE,SAMCHEM,D,14.0,188.0,,,,,,,0.0,,,,0.0,0.0
42,105282.0,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,14.0,188.0,Solvent,ve sinh kela,,,188.0,,0.0,,,,94.0,125.0
43,104689.0,CERANIL D 1188,SAMIA,O,65.0,1.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
44,104786.0,CERA ST,GSC ITALY,O,80.0,50.0,Auxiliary,THUNDER art,,,,46.0,0.0,COMPOUND,0.0,0.0,1.0,0.0
45,105153.0,FYL WAX CERA ST,GSC ITALY,O,80.0,50.0,,THUNDER,,,,,0.0,,,,0.0,0.0
46,104541.0,CICLOESANONE *,Samchem,D,14.0,190.0,Solvent,EFF - FISS nitro,,,1330.0,138.0,202.188,COMPOUND,1039.0,460.0,874.0,901.0
47,104690.0,DC65,NG?C LAN,D,14.0,120.0,Solvent,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",,,120.0,81.0,0.0,COMPOUND,2.0,0.0,3.0,5.0
